"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"52","Dota 2","Jul 9, 2013","Free","N/A (N/A/90%)","200,000,000 .. 500,000,000","23:13 (12:39)","Valve","Valve"
"4","Grand Theft Auto V","Apr 14, 2015","$29.98","N/A (N/A/96%)","50,000,000 .. 100,000,000","11:05 (02:45)","Rockstar North","Rockstar Games"
"24","Team Fortress 2","Oct 10, 2007","Free","N/A (N/A/92%)","50,000,000 .. 100,000,000","22:50 (04:50)","Valve","Valve"
"100","Apex Legends","Nov 4, 2020","Free","N/A (N/A/88%)","50,000,000 .. 100,000,000","13:35 (06:10)","Respawn Entertainment","Electronic Arts"
"325","Counter-Strike: Global Offensive","Aug 21, 2012","Free","N/A (N/A/83%)","50,000,000 .. 100,000,000","12:41 (04:58)","Valve, Hidden Path Entertainment","Valve"
"1283","New World","Sep 28, 2021","$39.99","N/A (N/A/70%)","50,000,000 .. 100,000,000","20:36 (15:09)","Amazon Games","Amazon Games"
"5270","Lost Ark","Feb 11, 2022","Free","N/A (N/A)","50,000,000 .. 100,000,000","32:27 (24:41)","Smilegate RPG","Amazon Games"
"5283","PUBG: BATTLEGROUNDS","Dec 21, 2017","Free","N/A (N/A)","50,000,000 .. 100,000,000","11:22 (03:08)","KRAFTON, Inc.","KRAFTON, Inc."
"9","ELDEN RING","Feb 24, 2022","$59.99","N/A (N/A/94%)","20,000,000 .. 50,000,000","08:03 (03:14)","FromSoftware Inc.","FromSoftware Inc., Bandai Namco Entertainment"
"50","Grand Theft Auto IV: Complete Edition","Coming soon","N/A","N/A (N/A/90%)","20,000,000 .. 50,000,000","00:00 (00:00)","Rockstar North, Rockstar Toronto","Rockstar Games"
"71","Left 4 Dead 2","Nov 16, 2009","$9.99","N/A (N/A/89%)","20,000,000 .. 50,000,000","05:17 (02:28)","Valve","Valve"
"171","Path of Exile","Oct 23, 2013","Free","N/A (N/A/86%)","20,000,000 .. 50,000,000","19:23 (13:09)","Grinding Gear Games","Grinding Gear Games"
"322","Destiny 2","Oct 1, 2019","Free","N/A (N/A/83%)","20,000,000 .. 50,000,000","25:41 (12:21)","Bungie","Bungie"
"324","Terraria","May 16, 2011","$9.99","N/A (N/A/83%)","20,000,000 .. 50,000,000","13:34 (05:38)","Re-Logic","Re-Logic"
"449","War Thunder","Aug 15, 2013","Free","N/A (N/A/81%)","20,000,000 .. 50,000,000","16:58 (04:43)","Gaijin Entertainment","Gaijin Distribution KFT"
"564","Fall Guys: Ultimate Knockout","Aug 3, 2020","N/A","N/A (N/A/80%)","20,000,000 .. 50,000,000","00:41 (00:44)","Mediatonic","SmashGames"
"599","PAYDAY 2","Aug 13, 2013","$9.99","N/A (N/A/79%)","20,000,000 .. 50,000,000","38:01 (02:11)","OVERKILL - a Starbreeze Studio.","Starbreeze Publishing AB"
"1284","ARK: Survival Evolved","Aug 27, 2017","$19.99","N/A (N/A/70%)","20,000,000 .. 50,000,000","26:56 (09:49)","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard"
"1305","Warframe","Mar 25, 2013","Free","N/A (N/A/69%)","20,000,000 .. 50,000,000","19:59 (02:40)","Digital Extremes","Digital Extremes"
"1306","Rust","Feb 8, 2018","$39.99","N/A (N/A/69%)","20,000,000 .. 50,000,000","22:57 (10:33)","Facepunch Studios","Facepunch Studios"
"4575","Half-Life 2: Lost Coast","Oct 27, 2005","N/A","N/A (N/A)","20,000,000 .. 50,000,000","00:10 (00:03)","Valve","Valve"
"4647","Brawlhalla","Oct 17, 2017","Free","N/A (N/A)","20,000,000 .. 50,000,000","02:57 (00:53)","Blue Mammoth Games","Ubisoft"
"4648","Unturned","Jul 7, 2017","Free","N/A (N/A)","20,000,000 .. 50,000,000","66:18 (05:29)","Smartly Dressed Games","Smartly Dressed Games"
"5279","Valheim","Feb 2, 2021","$19.99","N/A (N/A)","20,000,000 .. 50,000,000","14:12 (07:27)","Iron Gate AB","Coffee Stain Publishing"
"5282","Tom Clancy's Rainbow Six Siege","Dec 1, 2015","$19.99","N/A (N/A)","20,000,000 .. 50,000,000","10:37 (04:13)","Ubisoft Montreal","Ubisoft"
"2","Half-Life","Nov 8, 1998","$9.99","N/A (N/A/96%)","10,000,000 .. 20,000,000","02:13 (01:51)","Valve","Valve"
"5","Portal 2","Apr 18, 2011","$1.99","N/A (N/A/95%)","10,000,000 .. 20,000,000","02:51 (02:48)","Valve","Valve"
"51","Portal","Oct 10, 2007","$9.99","N/A (N/A/90%)","10,000,000 .. 20,000,000","00:58 (01:30)","Valve","Valve"
"69","Borderlands 2","Sep 17, 2012","$4.99","N/A (N/A/89%)","10,000,000 .. 20,000,000","04:13 (04:46)","Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)"
"95","Counter-Strike: Source","Nov 1, 2004","$9.99","N/A (N/A/88%)","10,000,000 .. 20,000,000","05:38 (03:14)","Valve","Valve"
"97","Counter-Strike","Nov 1, 2000","$9.99","N/A (N/A/88%)","10,000,000 .. 20,000,000","04:53 (05:10)","Valve","Valve"
"99","Monster Hunter: World","Aug 9, 2018","$29.99","N/A (N/A/88%)","10,000,000 .. 20,000,000","09:12 (06:02)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"133","Hollow Knight","Feb 24, 2017","$14.99","N/A (N/A/87%)","10,000,000 .. 20,000,000","06:46 (01:20)","Team Cherry","Team Cherry"
"173","Rocket League","Jul 7, 2015","N/A","N/A (N/A/86%)","10,000,000 .. 20,000,000","08:24 (04:52)","Psyonix LLC","Psyonix LLC"
"317","SMITE","Sep 8, 2015","Free","N/A (N/A/83%)","10,000,000 .. 20,000,000","15:22 (09:01)","Titan Forge Games","Hi-Rez Studios"
"319","Hogwarts Legacy","Feb 10, 2023","$59.99","N/A (N/A/83%)","10,000,000 .. 20,000,000","07:02 (04:03)","Avalanche Software","Warner Bros. Games"
"320","Paladins","May 8, 2018","Free","N/A (N/A/83%)","10,000,000 .. 20,000,000","18:31 (03:42)","Evil Mojo Games","Hi-Rez Studios"
"321","Don't Starve Together","Apr 21, 2016","$14.99","N/A (N/A/83%)","10,000,000 .. 20,000,000","04:01 (01:18)","Klei Entertainment","Klei Entertainment"
"323","The Forest","Apr 30, 2018","$19.99","N/A (N/A/83%)","10,000,000 .. 20,000,000","06:15 (03:14)","Endnight Games Ltd","Endnight Games Ltd"
"443","World of Warships","Nov 15, 2017","Free","N/A (N/A/81%)","10,000,000 .. 20,000,000","13:08 (24:01)","Wargaming Group Limited","Wargaming Group Limited"
"791","Mount & Blade II: Bannerlord","Oct 25, 2022","$49.99","N/A (N/A/77%)","10,000,000 .. 20,000,000","12:29 (08:42)","TaleWorlds Entertainment","TaleWorlds Entertainment"
"1282","Z1 Battle Royale","Feb 28, 2018","Free","N/A (N/A/70%)","10,000,000 .. 20,000,000","00:00 (00:00)","Daybreak Game Company","Daybreak Game Company"
"1627","Warface","Apr 12, 2012","Free","N/A (N/A/62%)","10,000,000 .. 20,000,000","14:15 (14:15)","MY.GAMES","MY.GAMES"
"4633","Minion Masters","May 24, 2019","Free","N/A (N/A)","10,000,000 .. 20,000,000","17:52 (34:41)","BetaDwarf","BetaDwarf"
"4635","Black Squad","Jun 26, 2019","Free","N/A (N/A)","10,000,000 .. 20,000,000","02:21 (03:41)","VALOFE, NS STUDIO","VALOFE"
"4638","Trove","Jul 9, 2015","N/A","N/A (N/A)","10,000,000 .. 20,000,000","00:21 (00:08)","gamigo US Inc.","gamigo US Inc."
"4639","Ring of Elysium","Sep 19, 2018","Free","N/A (N/A)","10,000,000 .. 20,000,000","02:15 (01:30)","Aurora Studio","TCH Scarlet Limited"
"4640","Robocraft","Aug 24, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Freejam","Freejam"
"4641","Heroes & Generals","Oct 18, 2016","Free","N/A (N/A)","10,000,000 .. 20,000,000","01:50 (02:25)","TLM Partners","TLM Partners"
"4643","World of Tanks Blitz","Nov 9, 2016","Free","N/A (N/A)","10,000,000 .. 20,000,000","02:56 (03:05)","Wargaming Group Limited","Wargaming Group Limited"
"4644","Halo Infinite","Nov 15, 2021","Free","N/A (N/A)","10,000,000 .. 20,000,000","02:19 (01:50)","343 Industries","Xbox Game Studios"
"5090","Half-Life 2: Deathmatch","Nov 1, 2004","$4.99","N/A (N/A)","10,000,000 .. 20,000,000","00:30 (00:19)","Valve","Valve"
"5265","鬼谷八荒 Tale of Immortal","Jan 27, 2021","$19.99","N/A (N/A)","10,000,000 .. 20,000,000","04:34 (01:29)","鬼谷工作室","鬼谷工作室, Lightning Games"
"5273","Call of Duty: Modern Warfare II","Oct 27, 2022","$45.49","N/A (N/A)","10,000,000 .. 20,000,000","10:29 (02:26)","Infinity Ward, Raven Software, Beenox, Treyarch, High Moon Studios, Sledgehammer Games, Activision Shanghai, Demonware, Toys for Bob","Activision"
"5275","7 Days to Die","Dec 13, 2013","$24.99","N/A (N/A)","10,000,000 .. 20,000,000","09:23 (04:15)","The Fun Pimps","The Fun Pimps Entertainment LLC"
"5280","Phasmophobia","Sep 18, 2020","$13.99","N/A (N/A)","10,000,000 .. 20,000,000","04:04 (01:34)","Kinetic Games","Kinetic Games"
"5281","Dead by Daylight","Jun 14, 2016","$19.99","N/A (N/A)","10,000,000 .. 20,000,000","09:45 (03:02)","Behaviour Interactive Inc.","Behaviour Interactive Inc."
"10353","Street Warriors Online","Dec 16, 2016","$1.99","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Crazy Rocks Studios","Crazy Rocks Studios"
