"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"1","Grand Theft Auto V","Apr 14, 2015","$29.98","N/A (N/A/96%)","50,000,000 .. 100,000,000","11:05 (02:45)","Rockstar North","Rockstar Games"
"52","Apex Legends","Nov 4, 2020","Free","N/A (N/A/88%)","50,000,000 .. 100,000,000","13:35 (06:10)","Respawn Entertainment","Electronic Arts"
"1142","New World","Sep 28, 2021","$39.99","N/A (N/A/70%)","50,000,000 .. 100,000,000","20:36 (15:09)","Amazon Games","Amazon Games"
"18136","Lost Ark","Feb 11, 2022","Free","N/A (N/A)","50,000,000 .. 100,000,000","32:27 (24:41)","Smilegate RPG","Amazon Games"
"18142","PUBG: BATTLEGROUNDS","Dec 21, 2017","Free","N/A (N/A)","50,000,000 .. 100,000,000","11:22 (03:08)","KRAFTON, Inc.","KRAFTON, Inc."
"25","Grand Theft Auto IV: Complete Edition","Coming soon","N/A","N/A (N/A/90%)","20,000,000 .. 50,000,000","00:00 (00:00)","Rockstar North, Rockstar Toronto","Rockstar Games"
"99","Path of Exile","Oct 23, 2013","Free","N/A (N/A/86%)","20,000,000 .. 50,000,000","19:23 (13:09)","Grinding Gear Games","Grinding Gear Games"
"234","Destiny 2","Oct 1, 2019","Free","N/A (N/A/83%)","20,000,000 .. 50,000,000","25:41 (12:21)","Bungie","Bungie"
"236","Terraria","May 16, 2011","$9.99","N/A (N/A/83%)","20,000,000 .. 50,000,000","13:34 (05:38)","Re-Logic","Re-Logic"
"1143","ARK: Survival Evolved","Aug 27, 2017","$19.99","N/A (N/A/70%)","20,000,000 .. 50,000,000","26:56 (09:49)","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard"
"1192","Rust","Feb 8, 2018","$39.99","N/A (N/A/69%)","20,000,000 .. 50,000,000","22:57 (10:33)","Facepunch Studios","Facepunch Studios"
"3327","Unturned","Jul 7, 2017","Free","N/A (N/A)","20,000,000 .. 50,000,000","66:18 (05:29)","Smartly Dressed Games","Smartly Dressed Games"
"18141","Valheim","Feb 2, 2021","$19.99","N/A (N/A)","20,000,000 .. 50,000,000","14:12 (07:27)","Iron Gate AB","Coffee Stain Publishing"
"2","Portal 2","Apr 18, 2011","$1.99","N/A (N/A/95%)","10,000,000 .. 20,000,000","02:51 (02:48)","Valve","Valve"
"76","Hollow Knight","Feb 24, 2017","$14.99","N/A (N/A/87%)","10,000,000 .. 20,000,000","06:46 (01:20)","Team Cherry","Team Cherry"
"231","Hogwarts Legacy","Feb 10, 2023","$59.99","N/A (N/A/83%)","10,000,000 .. 20,000,000","07:02 (04:03)","Avalanche Software","Warner Bros. Games"
"232","Paladins","May 8, 2018","Free","N/A (N/A/83%)","10,000,000 .. 20,000,000","18:31 (03:42)","Evil Mojo Games","Hi-Rez Studios"
"233","Don't Starve Together","Apr 21, 2016","$14.99","N/A (N/A/83%)","10,000,000 .. 20,000,000","04:01 (01:18)","Klei Entertainment","Klei Entertainment"
"235","The Forest","Apr 30, 2018","$19.99","N/A (N/A/83%)","10,000,000 .. 20,000,000","06:15 (03:14)","Endnight Games Ltd","Endnight Games Ltd"
"1140","Z1 Battle Royale","Feb 28, 2018","Free","N/A (N/A/70%)","10,000,000 .. 20,000,000","00:00 (00:00)","Daybreak Game Company","Daybreak Game Company"
"1141","Human: Fall Flat","Jul 22, 2016","$19.99","N/A (N/A/70%)","10,000,000 .. 20,000,000","01:50 (01:52)","No Brakes Games","Curve Games"
"1455","Warface","Apr 12, 2012","Free","N/A (N/A/62%)","10,000,000 .. 20,000,000","14:15 (14:15)","MY.GAMES","MY.GAMES"
"3253","Serena","Jan 30, 2014","N/A","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Senscape","Senscape"
"3313","Life is Strange 2","Sep 26, 2018","$31.96","N/A (N/A)","10,000,000 .. 20,000,000","00:40 (00:26)","DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)"
"3321","Minion Masters","May 24, 2019","Free","N/A (N/A)","10,000,000 .. 20,000,000","17:52 (34:41)","BetaDwarf","BetaDwarf"
"3323","Trove","Jul 9, 2015","N/A","N/A (N/A)","10,000,000 .. 20,000,000","00:21 (00:08)","gamigo US Inc.","gamigo US Inc."
"3325","VRChat","Feb 1, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","11:08 (02:21)","VRChat Inc.","VRChat Inc."
"18130","鬼谷八荒 Tale of Immortal","Jan 27, 2021","$19.99","N/A (N/A)","10,000,000 .. 20,000,000","04:34 (01:29)","鬼谷工作室","鬼谷工作室, Lightning Games"
"18137","7 Days to Die","Dec 13, 2013","$24.99","N/A (N/A)","10,000,000 .. 20,000,000","09:23 (04:15)","The Fun Pimps","The Fun Pimps Entertainment LLC"
"18138","Raft","Jun 20, 2022","$19.99","N/A (N/A)","10,000,000 .. 20,000,000","04:37 (07:17)","Redbeet Interactive","Axolot Games"
"6","Divinity: Original Sin 2 - Definitive Edition","Sep 14, 2017","$17.99","N/A (N/A/93%)","5,000,000 .. 10,000,000","13:30 (04:21)","Larian Studios","Larian Studios"
"7","Red Dead Redemption 2","Dec 5, 2019","$59.99","N/A (N/A/93%)","5,000,000 .. 10,000,000","06:01 (02:23)","Rockstar Games","Rockstar Games"
"24","Grand Theft Auto IV: The Complete Edition","Mar 24, 2020","$19.99","N/A (N/A/90%)","5,000,000 .. 10,000,000","08:04 (06:18)","Rockstar North, Rockstar Toronto","Rockstar Games"
"34","It Takes Two","Mar 25, 2021","$19.99","N/A (N/A/89%)","5,000,000 .. 10,000,000","03:52 (04:17)","Hazelight","Electronic Arts"
"51","Sekiro: Shadows Die Twice - GOTY Edition","Mar 21, 2019","$59.99","N/A (N/A/88%)","5,000,000 .. 10,000,000","03:38 (02:27)","FromSoftware","Activision (Excluding Japan and Asia), FromSoftware (Japan), 方块游戏 (Asia)"
