Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Grand Theft Auto V,2015-04-14,29.98,"50,000,000 .. 100,000,000",Rockstar North,Rockstar Games,5.00E+07,1.00E+08,50.0M,100.0M
Apex Legends,2020-11-04,0.0,"50,000,000 .. 100,000,000",Respawn Entertainment,Electronic Arts,5.00E+07,1.00E+08,50.0M,100.0M
New World,2021-09-28,39.99,"50,000,000 .. 100,000,000",Amazon Games,Amazon Games,5.00E+07,1.00E+08,50.0M,100.0M
Lost Ark,2022-02-11,0.0,"50,000,000 .. 100,000,000",Smilegate RPG,Amazon Games,5.00E+07,1.00E+08,50.0M,100.0M
PUBG: BATTLEGROUNDS,2017-12-21,0.0,"50,000,000 .. 100,000,000","KRAFTON, Inc.","KRAFTON, Inc.",5.00E+07,1.00E+08,50.0M,100.0M
Grand Theft Auto IV: Complete Edition,,,"20,000,000 .. 50,000,000","Rockstar North, Rockstar Toronto",Rockstar Games,2.00E+07,5.00E+07,20.0M,50.0M
Path of Exile,2013-10-23,0.0,"20,000,000 .. 50,000,000",Grinding Gear Games,Grinding Gear Games,2.00E+07,5.00E+07,20.0M,50.0M
Destiny 2,2019-10-01,0.0,"20,000,000 .. 50,000,000",Bungie,Bungie,2.00E+07,5.00E+07,20.0M,50.0M
Terraria,2011-05-16,9.99,"20,000,000 .. 50,000,000",Re-Logic,Re-Logic,2.00E+07,5.00E+07,20.0M,50.0M
ARK: Survival Evolved,2017-08-27,19.99,"20,000,000 .. 50,000,000","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,2.00E+07,5.00E+07,20.0M,50.0M
Rust,2018-02-08,39.99,"20,000,000 .. 50,000,000",Facepunch Studios,Facepunch Studios,2.00E+07,5.00E+07,20.0M,50.0M
Unturned,2017-07-07,0.0,"20,000,000 .. 50,000,000",Smartly Dressed Games,Smartly Dressed Games,2.00E+07,5.00E+07,20.0M,50.0M
Valheim,2021-02-02,19.99,"20,000,000 .. 50,000,000",Iron Gate AB,Coffee Stain Publishing,2.00E+07,5.00E+07,20.0M,50.0M
Portal 2,2011-04-18,1.99,"10,000,000 .. 20,000,000",Valve,Valve,1.00E+07,2.00E+07,10.0M,20.0M
Hollow Knight,2017-02-24,14.99,"10,000,000 .. 20,000,000",Team Cherry,Team Cherry,1.00E+07,2.00E+07,10.0M,20.0M
Hogwarts Legacy,2023-02-10,59.99,"10,000,000 .. 20,000,000",Avalanche Software,Warner Bros. Games,1.00E+07,2.00E+07,10.0M,20.0M
Paladins,2018-05-08,0.0,"10,000,000 .. 20,000,000",Evil Mojo Games,Hi-Rez Studios,1.00E+07,2.00E+07,10.0M,20.0M
Don't Starve Together,2016-04-21,14.99,"10,000,000 .. 20,000,000",Klei Entertainment,Klei Entertainment,1.00E+07,2.00E+07,10.0M,20.0M
