"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"51","Fall Guys: Ultimate Knockout","Aug 3, 2020","N/A","N/A (N/A/80%)","20,000,000 .. 50,000,000","00:41 (00:44)","Mediatonic","SmashGames"
"13","Rocket League","Jul 7, 2015","N/A","N/A (N/A/86%)","10,000,000 .. 20,000,000","08:24 (04:52)","Psyonix LLC","Psyonix LLC"
"454","VRChat","Feb 1, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","11:08 (02:21)","VRChat Inc.","VRChat Inc."
"3084","Street Warriors Online","Dec 16, 2016","$1.99","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Crazy Rocks Studios","Crazy Rocks Studios"
"19","Football Manager 2020","Nov 19, 2019","N/A","N/A (N/A/84%)","5,000,000 .. 10,000,000","00:00 (00:00)","Sports Interactive","SEGA"
"76","NBA 2K20","Sep 6, 2019","N/A","N/A (N/A/74%)","5,000,000 .. 10,000,000","00:56 (00:18)","Visual Concepts","2K"
"446","Freestyle 2: Street Basketball","Apr 1, 2015","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","JOYCITY","JOYCITY"
"451","theHunter Classic","Jun 3, 2014","Free","N/A (N/A)","5,000,000 .. 10,000,000","08:49 (11:18)","Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios"
"3181","EA SPORTS FIFA 23","Sep 29, 2022","$20.99","N/A (N/A)","5,000,000 .. 10,000,000","17:39 (12:54)","EA Canada & EA Romania","Electronic Arts"
"12","DiRT Rally","Dec 7, 2015","N/A","N/A (N/A/86%)","2,000,000 .. 5,000,000","00:00 (00:00)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac), Electronic Arts"
"15","Assetto Corsa","Dec 19, 2014","$3.99","N/A (N/A/85%)","2,000,000 .. 5,000,000","04:14 (02:48)","Kunos Simulazioni","Kunos Simulazioni"
"21","SpeedRunners","Apr 19, 2016","$14.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","00:43 (00:42)","DoubleDutch Games","tinyBuild"
"32","TEKKEN 7","Jun 1, 2017","$39.99","N/A (N/A/82%)","2,000,000 .. 5,000,000","06:31 (08:48)","BANDAI NAMCO Studios Inc.","BANDAI NAMCO Entertainment"
"49","Football Manager 2017","Nov 3, 2016","N/A","N/A (N/A/80%)","2,000,000 .. 5,000,000","01:15 (00:25)","Sports Interactive","SEGA"
"69","NBA 2K19","Sep 10, 2018","N/A","N/A (N/A/76%)","2,000,000 .. 5,000,000","00:00 (00:00)","Visual Concepts","2K"
"86","Need for Speed Heat","Nov 8, 2019","$69.99","N/A (N/A/72%)","2,000,000 .. 5,000,000","03:00 (05:16)","Ghost Games","Electronic Arts"
"123","F1 2015","Jul 9, 2015","N/A","N/A (N/A/61%)","2,000,000 .. 5,000,000","01:35 (00:31)","Codemasters, Feral Interactive (Linux)","Codemasters, Feral Interactive (Linux)"
"445","S.K.I.L.L. - Special Force 2 (Shooter)","Sep 12, 2013","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Dragonfly GF Co., LTD","Space Budgie"
"449","RaceRoom Racing Experience","Feb 12, 2013","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:07 (00:02)","KW Studios","KW Studios, RaceRoom Entertainment AG"
"452","Russian Fishing 4","Nov 10, 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","29:38 (24:31)","FishSoft, LLC","FishSoft, LLC"
"453","Fishing Planet","Aug 11, 2015","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:33 (00:22)","Fishing Planet LLC","Fishing Planet LLC"
"3173","NBA 2K21","Sep 4, 2020","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Visual Concepts","2K"
"3177","Football Manager 2021","Nov 24, 2020","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Sports Interactive","SEGA"
"3182","Golf With Your Friends","May 19, 2020","$14.99","N/A (N/A)","2,000,000 .. 5,000,000","02:19 (04:43)","Blacklight Interactive, Team17","Team17"
"3184","FIFA 22","Sep 30, 2021","$59.99","N/A (N/A)","2,000,000 .. 5,000,000","08:20 (01:32)","EA Canada & EA Romania","Electronic Arts"
"3185","Forza Horizon 5","Nov 8, 2021","$59.99","N/A (N/A)","2,000,000 .. 5,000,000","07:49 (05:48)","Playground Games","Xbox Game Studios"
"3186","theHunter: Call of the Wild","Feb 16, 2017","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","06:19 (09:22)","Expansive Worlds","Expansive Worlds"
"6","NBA 2K18","Sep 14, 2017","N/A","N/A (N/A/87%)","1,000,000 .. 2,000,000","00:55 (00:18)","Visual Concepts","2K"
"10","Football Manager 2019","Nov 2, 2018","N/A","N/A (N/A/86%)","1,000,000 .. 2,000,000","00:00 (00:00)","Sports Interactive","SEGA"
"11","F1 2021","Jul 15, 2021","$59.99","N/A (N/A/86%)","1,000,000 .. 2,000,000","01:17 (01:17)","Codemasters","Electronic Arts"
