Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Valheim,2021-02-02,19.99,"20,000,000 .. 50,000,000",Iron Gate AB,Coffee Stain Publishing,2.00E+07,5.00E+07,20.0M,50.0M
VRChat,2017-02-01,0.0,"10,000,000 .. 20,000,000",VRChat Inc.,VRChat Inc.,1.00E+07,2.00E+07,10.0M,20.0M
鬼谷八荒 Tale of Immortal,2021-01-27,19.99,"10,000,000 .. 20,000,000",鬼谷工作室,"鬼谷工作室, Lightning Games",1.00E+07,2.00E+07,10.0M,20.0M
7 Days to Die,2013-12-13,24.99,"10,000,000 .. 20,000,000",The Fun Pimps,The Fun Pimps Entertainment LLC,1.00E+07,2.00E+07,10.0M,20.0M
Phasmophobia,2020-09-18,13.99,"10,000,000 .. 20,000,000",Kinetic Games,Kinetic Games,1.00E+07,2.00E+07,10.0M,20.0M
KurtzPel,2019-04-30,0.0,"5,000,000 .. 10,000,000",KOG,KOG,5.00E+06,1.00E+07,5.0M,10.0M
Realm Royale,2018-06-05,0.0,"5,000,000 .. 10,000,000",Heroic Leap Games,Hi-Rez Studios,5.00E+06,1.00E+07,5.0M,10.0M
Gene Shift Auto,2017-05-23,,"5,000,000 .. 10,000,000",Nik Nak Studios,Nik Nak Studios,5.00E+06,1.00E+07,5.0M,10.0M
Scrap Mechanic,2016-01-19,19.99,"5,000,000 .. 10,000,000",Axolot Games,Axolot Games,5.00E+06,1.00E+07,5.0M,10.0M
Sons Of The Forest,2023-02-23,29.99,"5,000,000 .. 10,000,000",Endnight Games Ltd,Newnight,5.00E+06,1.00E+07,5.0M,10.0M
Project Zomboid,2013-11-08,19.99,"5,000,000 .. 10,000,000",The Indie Stone,The Indie Stone,5.00E+06,1.00E+07,5.0M,10.0M
Stay Out,2019-11-27,0.0,"2,000,000 .. 5,000,000",MOBITECH LLC,MOBITECH LLC,2.00E+06,5.00E+06,2.0M,5.0M
Survarium,2015-04-02,,"2,000,000 .. 5,000,000",Vostok Games,Vostok Games,2.00E+06,5.00E+06,2.0M,5.0M
BLOCKADE 3D,2014-11-05,0.0,"2,000,000 .. 5,000,000",Novalink,Novalink,2.00E+06,5.00E+06,2.0M,5.0M
Eternal Return: Black Survival,2020-10-14,0.0,"2,000,000 .. 5,000,000",Nimble Neuron,"Kakao Games Europe B.V. (EU,NA,OCE), Nimble Neuron (Excluding EU,NA,OCE)",2.00E+06,5.00E+06,2.0M,5.0M
Last Epoch,2019-04-30,34.99,"2,000,000 .. 5,000,000",Eleventh Hour Games,Eleventh Hour Games,2.00E+06,5.00E+06,2.0M,5.0M
Mirror 2: Project X,2022-01-20,1.99,"2,000,000 .. 5,000,000",KAGAMI Ⅱ WORKs,NIJICO,2.00E+06,5.00E+06,2.0M,5.0M
太吾绘卷 The Scroll Of Taiwu,2018-09-21,19.99,"2,000,000 .. 5,000,000",ConchShip Games,ConchShip Games,2.00E+06,5.00E+06,2.0M,5.0M
The Isle,2015-12-01,19.99,"2,000,000 .. 5,000,000",Afterthought LLC,Afterthought LLC,2.00E+06,5.00E+06,2.0M,5.0M
Baldur's Gate 3,2020-10-06,59.99,"2,000,000 .. 5,000,000",Larian Studios,Larian Studios,2.00E+06,5.00E+06,2.0M,5.0M
V Rising,2022-05-17,15.99,"2,000,000 .. 5,000,000",Stunlock Studios,Stunlock Studios,2.00E+06,5.00E+06,2.0M,5.0M
SCUM,2018-08-29,39.99,"2,000,000 .. 5,000,000",Gamepires,Jagex Ltd,2.00E+06,5.00E+06,2.0M,5.0M
Dyson Sphere Program,2021-01-20,15.99,"2,000,000 .. 5,000,000",Youthcat Studio,Gamera Games,2.00E+06,5.00E+06,2.0M,5.0M
Ready or Not,2021-12-17,39.99,"2,000,000 .. 5,000,000",VOID Interactive,VOID Interactive,2.00E+06,5.00E+06,2.0M,5.0M
Satisfactory,2020-06-08,29.99,"2,000,000 .. 5,000,000",Coffee Stain Studios,Coffee Stain Publishing,2.00E+06,5.00E+06,2.0M,5.0M
