"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"20","Dota 2","Jul 9, 2013","Free","N/A (N/A/90%)","200,000,000 .. 500,000,000","23:13 (12:39)","Valve","Valve"
"19","Sid Meier's Civilization V","Sep 21, 2010","$29.99","N/A (N/A/90%)","10,000,000 .. 20,000,000","06:16 (08:35)","Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)"
"128","Paladins","May 8, 2018","Free","N/A (N/A/83%)","10,000,000 .. 20,000,000","18:31 (03:42)","Evil Mojo Games","Hi-Rez Studios"
"129","Don't Starve Together","Apr 21, 2016","$14.99","N/A (N/A/83%)","10,000,000 .. 20,000,000","04:01 (01:18)","Klei Entertainment","Klei Entertainment"
"366","Mount & Blade II: Bannerlord","Oct 25, 2022","$49.99","N/A (N/A/77%)","10,000,000 .. 20,000,000","12:29 (08:42)","TaleWorlds Entertainment","TaleWorlds Entertainment"
"824","Warface","Apr 12, 2012","Free","N/A (N/A/62%)","10,000,000 .. 20,000,000","14:15 (14:15)","MY.GAMES","MY.GAMES"
"2255","Minion Masters","May 24, 2019","Free","N/A (N/A)","10,000,000 .. 20,000,000","17:52 (34:41)","BetaDwarf","BetaDwarf"
"2257","Heroes & Generals","Oct 18, 2016","Free","N/A (N/A)","10,000,000 .. 20,000,000","01:50 (02:25)","TLM Partners","TLM Partners"
"4609","7 Days to Die","Dec 13, 2013","$24.99","N/A (N/A)","10,000,000 .. 20,000,000","09:23 (04:15)","The Fun Pimps","The Fun Pimps Entertainment LLC"
"6","Divinity: Original Sin 2 - Definitive Edition","Sep 14, 2017","$17.99","N/A (N/A/93%)","5,000,000 .. 10,000,000","13:30 (04:21)","Larian Studios","Larian Studios"
"18","Factorio","Aug 14, 2020","$35","N/A (N/A/90%)","5,000,000 .. 10,000,000","14:42 (09:58)","Wube Software LTD.","Wube Software LTD."
"30","XCOM 2","Feb 4, 2016","$59.99","N/A (N/A/88%)","5,000,000 .. 10,000,000","06:51 (08:35)","Firaxis Games, Feral Interactive (Mac), Feral Interactive (Linux)","2K, Feral Interactive (Mac), Feral Interactive (Linux)"
"31","Sid Meier’s Civilization VI","Oct 20, 2016","$5.99","N/A (N/A/88%)","5,000,000 .. 10,000,000","10:08 (05:47)","Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)"
"46","Total War: WARHAMMER II","Sep 28, 2017","$59.99","N/A (N/A/87%)","5,000,000 .. 10,000,000","05:58 (02:05)","CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
"77","Cities: Skylines","Mar 10, 2015","$29.99","N/A (N/A/85%)","5,000,000 .. 10,000,000","11:49 (05:15)","Colossal Order Ltd.","Paradox Interactive"
"126","Prison Architect","Oct 6, 2015","$29.99","N/A (N/A/83%)","5,000,000 .. 10,000,000","04:39 (03:05)","Double Eleven, Introversion Software","Paradox Interactive"
"127","Hearts of Iron IV","Jun 6, 2016","$39.99","N/A (N/A/83%)","5,000,000 .. 10,000,000","09:35 (04:26)","Paradox Development Studio","Paradox Interactive"
"248","Company of Heroes 2","Jun 25, 2013","$19.99","N/A (N/A/80%)","5,000,000 .. 10,000,000","11:46 (13:47)","Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
"496","Arma 3","Sep 12, 2013","$29.99","N/A (N/A/74%)","5,000,000 .. 10,000,000","09:02 (07:07)","Bohemia Interactive","Bohemia Interactive"
"545","Black Desert","May 24, 2017","$9.99","N/A (N/A/73%)","5,000,000 .. 10,000,000","50:05 (29:09)","Pearl Abyss","Pearl Abyss"
"710","Age of Empires II (2013)","Apr 9, 2013","$19.99","N/A (N/A/68%)","5,000,000 .. 10,000,000","07:29 (08:23)","Skybox Labs, Hidden Path Entertainment, Ensemble Studios, Forgotten Empires","Xbox Game Studios"
"2254","Clicker Heroes","May 13, 2015","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:57 (00:37)","Playsaurus","Playsaurus"
"2256","Dota Underlords","Jun 20, 2019","Free","N/A (N/A)","5,000,000 .. 10,000,000","06:31 (14:53)","Valve","Valve"
"4327","Braveland","Mar 17, 2014","$1.99","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Tortuga Team","Tortuga Team"
"3","Company of Heroes - Legacy Edition","Sep 11, 2006","$19.99","N/A (N/A/93%)","2,000,000 .. 5,000,000","00:00 (00:00)","Relic Entertainment","SEGA"
"11","Crusader Kings III","Sep 1, 2020","$49.99","N/A (N/A/91%)","2,000,000 .. 5,000,000","16:26 (12:44)","Paradox Development Studio","Paradox Interactive"
"16","Total War: EMPIRE – Definitive Edition","Mar 4, 2009","$24.99","N/A (N/A/90%)","2,000,000 .. 5,000,000","00:00 (00:00)","CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
"17","Total War: SHOGUN 2","Mar 15, 2011","$29.99","N/A (N/A/90%)","2,000,000 .. 5,000,000","00:00 (00:00)","CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
"24","XCOM: Enemy Unknown","Oct 8, 2012","$29.99","N/A (N/A/89%)","2,000,000 .. 5,000,000","00:02 (00:01)","Firaxis Games, Feral Interactive (Linux)","2K, Feral Interactive (Linux)"
"25","Slay the Spire","Jan 23, 2019","$24.99","N/A (N/A/89%)","2,000,000 .. 5,000,000","05:20 (03:59)","Mega Crit Games","Mega Crit Games"
"29","EVE Online","May 6, 2003","Free","N/A (N/A/88%)","2,000,000 .. 5,000,000","02:14 (01:29)","CCP","CCP"
"44","Plants vs. Zombies GOTY Edition","May 5, 2009","$2.99","N/A (N/A/87%)","2,000,000 .. 5,000,000","04:29 (03:57)","PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts"
"45","Europa Universalis IV","Aug 13, 2013","$39.99","N/A (N/A/87%)","2,000,000 .. 5,000,000","16:31 (14:24)","Paradox Development Studio, Paradox Tinto","Paradox Interactive"
"47","RimWorld","Oct 17, 2018","$34.99","N/A (N/A/87%)","2,000,000 .. 5,000,000","18:00 (11:46)","Ludeon Studios","Ludeon Studios"
"65","Total War: WARHAMMER","May 24, 2016","$59.99","N/A (N/A/86%)","2,000,000 .. 5,000,000","00:00 (00:00)","CREATIVE ASSEMBLY, Feral Interactive (Linux), Feral Interactive (Mac)","SEGA, Feral Interactive (Linux), Feral Interactive (Mac)"
"72","Warhammer 40,000: Dawn of War II","Feb 18, 2009","$19.99","N/A (N/A/85%)","2,000,000 .. 5,000,000","00:00 (00:00)","Relic Entertainment, Feral Interactive (Mac/Linux)","SEGA, Feral Interactive (Mac/Linux)"
"75","Total War: WARHAMMER III","Feb 16, 2022","$59.99","N/A (N/A/85%)","2,000,000 .. 5,000,000","17:38 (09:25)","CREATIVE ASSEMBLY, Feral Interactive","SEGA, Feral Interactive"
"76","Total War: THREE KINGDOMS","May 23, 2019","$59.99","N/A (N/A/85%)","2,000,000 .. 5,000,000","28:37 (24:54)","CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
"90","SPORE","Dec 19, 2008","$4.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","03:19 (03:08)","Maxis™","Electronic Arts"
"92","FTL: Faster Than Light","Sep 14, 2012","$9.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","13:32 (13:32)","Subset Games","Subset Games"
"93","Frostpunk","Apr 24, 2018","$29.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","09:00 (11:56)","11 bit studios","11 bit studios"
"94","Darkest Dungeon","Jan 19, 2016","$3.74","N/A (N/A/84%)","2,000,000 .. 5,000,000","12:19 (23:03)","Red Hook Studios","Red Hook Studios"
"95","Age of Empires II: Definitive Edition","Nov 14, 2019","$19.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","04:53 (03:13)","Forgotten Empires, Tantalus Media, Wicked Witch, World's Edge","Xbox Game Studios"
"123","Orcs Must Die! 2","Jul 30, 2012","$14.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","02:33 (02:58)","Robot Entertainment","Robot Entertainment"
"125","L.A. Noire","Nov 8, 2011","$19.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","00:00 (00:00)","Team Bondi, Rockstar Leeds","Rockstar Games"
"157","Sins of a Solar Empire: Rebellion","Jun 12, 2012","$39.99","N/A (N/A/82%)","2,000,000 .. 5,000,000","19:44 (09:57)","Ironclad Games, Stardock Entertainment","Stardock Entertainment"
"161","Crusader Kings II","Feb 14, 2012","Free","N/A (N/A/82%)","2,000,000 .. 5,000,000","09:36 (15:40)","Paradox Development Studio","Paradox Interactive"
"196","Dungeon Defenders","Oct 18, 2011","$14.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","00:00 (00:00)","Chromatic Games","Chromatic Games"
"198","Age of Empires III (2007)","Jan 5, 2012","$39.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","00:21 (00:07)","Ensemble Studios","Xbox Game Studios"
"200","Age of Empires IV: Anniversary Edition","Oct 28, 2021","$39.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","05:14 (05:12)","Relic Entertainment, World's Edge","Xbox Game Studios"
"202","Northgard","Mar 7, 2018","$29.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","05:20 (05:45)","Shiro Games","Shiro Unlimited"
"203","Planet Zoo","Nov 5, 2019","$11.24","N/A (N/A/81%)","2,000,000 .. 5,000,000","06:46 (11:03)","Frontier Developments","Frontier Developments"
"241","Brutal Legend","Feb 26, 2013","$14.99","N/A (N/A/80%)","2,000,000 .. 5,000,000","00:00 (00:00)","Double Fine Productions","Double Fine Productions"
"245","Total War: ATTILA","Feb 17, 2015","$44.99","N/A (N/A/80%)","2,000,000 .. 5,000,000","01:35 (00:31)","CREATIVE ASSEMBLY","SEGA"
"247","Elite Dangerous","Apr 2, 2015","$7.49","N/A (N/A/80%)","2,000,000 .. 5,000,000","05:27 (07:36)","Frontier Developments","Frontier Developments"
"279","For The King","Apr 19, 2018","$19.99","N/A (N/A/79%)","2,000,000 .. 5,000,000","05:04 (03:53)","IronOak Games","Curve Games"
"280","Hell Let Loose","Jul 27, 2021","$39.99","N/A (N/A/79%)","2,000,000 .. 5,000,000","09:43 (07:35)","Black Matter Pty Ltd","Team17"
"306","Tropico 4","Sep 1, 2011","$14.99","N/A (N/A/78%)","2,000,000 .. 5,000,000","00:00 (00:00)","Haemimont Games","Kalypso Media Digital"
"311","Awesomenauts - the 2D moba","Aug 1, 2012","Free","N/A (N/A/78%)","2,000,000 .. 5,000,000","03:07 (01:02)","Ronimo Games","Ronimo Games"
"313","Stellaris","May 9, 2016","$39.99","N/A (N/A/78%)","2,000,000 .. 5,000,000","13:28 (13:09)","Paradox Development Studio","Paradox Interactive"
"361","Sanctum 2","May 15, 2013","$14.99","N/A (N/A/77%)","2,000,000 .. 5,000,000","00:00 (00:00)","Coffee Stain Studios","Coffee Stain Publishing"
"404","Surviving Mars","Mar 15, 2018","$29.99","N/A (N/A/76%)","2,000,000 .. 5,000,000","03:39 (01:13)","Haemimont Games, Abstraction","Paradox Interactive"
"405","Total War: ROME II - Emperor Edition","Sep 2, 2013","$59.99","N/A (N/A/76%)","2,000,000 .. 5,000,000","05:10 (05:04)","CREATIVE ASSEMBLY","SEGA"
"451","The Escapists 2","Aug 21, 2017","$19.99","N/A (N/A/75%)","2,000,000 .. 5,000,000","04:44 (02:24)","Team17, Mouldy Toof Studios","Team17"
"453","Kenshi","Dec 6, 2018","$29.99","N/A (N/A/75%)","2,000,000 .. 5,000,000","04:11 (05:57)","Lo-Fi Games","Lo-Fi Games"
"494","Kingdom: Classic","Oct 21, 2015","Free","N/A (N/A/74%)","2,000,000 .. 5,000,000","00:00 (00:00)","Noio, Licorice","Raw Fury"
"495","Insurgency","Jan 22, 2014","$14.99","N/A (N/A/74%)","2,000,000 .. 5,000,000","04:34 (05:48)","New World Interactive","New World Interactive"
"543","Arma 2: Operation Arrowhead","Jun 29, 2010","$19.99","N/A (N/A/73%)","2,000,000 .. 5,000,000","00:00 (00:00)","Bohemia Interactive","Bohemia Interactive"
"544","Banished","Feb 18, 2014","$19.99","N/A (N/A/73%)","2,000,000 .. 5,000,000","00:00 (00:00)","Shining Rock Software LLC","Shining Rock Software LLC"
"581","Block N Load","Apr 30, 2015","Free","N/A (N/A/72%)","2,000,000 .. 5,000,000","00:00 (00:00)","Toadman Interactive, Artplant","Toadman Interactive"
"667","Jurassic World Evolution","Jun 11, 2018","$8.99","N/A (N/A/69%)","2,000,000 .. 5,000,000","00:55 (00:18)","Frontier Developments","Frontier Developments"
"709","Men of War: Assault Squad 2","May 15, 2014","$29.99","N/A (N/A/68%)","2,000,000 .. 5,000,000","02:13 (02:00)","Digitalmindsoft","Fulqrum Publishing"
"754","Age of Mythology: Extended Edition","May 8, 2014","$29.99","N/A (N/A/66%)","2,000,000 .. 5,000,000","01:08 (00:53)","SkyBox Labs, Ensemble Studios","Xbox Game Studios"
"2232","ARK: Survival Of The Fittest","Aug 29, 2017","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard"
"2233","S.K.I.L.L. - Special Force 2 (Shooter)","Sep 12, 2013","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Dragonfly GF Co., LTD","Space Budgie"
"2239","Last Man Standing","Mar 29, 2017","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Free Reign Entertainment, Free Reign Entertainment","Free Reign Entertainment"
"2241","Toribash","Mar 1, 2006","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Nabi Studios","Nicalis, Inc."
"2243","World of Guns: Gun Disassembly","May 21, 2014","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Noble Empire Corp.","Noble Empire Corp."
"2244","封灵档案","Mar 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:04 (00:02)","（Hong Kong）GKD","（Hong Kong）GKD"
"2245","Dungeon Defenders II","Jun 20, 2017","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:54 (00:18)","Chromatic Games","Chromatic Games"
"2246","Magic Duels","Jul 29, 2015","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Stainless Games Ltd.","Wizards of the Coast LLC"
"2247","Conqueror's Blade","May 30, 2019","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:23 (00:15)","Booming Tech","MY.GAMES"
"2249","RISK: Global Domination","Feb 19, 2020","Free","N/A (N/A)","2,000,000 .. 5,000,000","01:07 (01:12)","SMG Studio","SMG Studio"
"2251","Yu-Gi-Oh! Duel Links","Nov 16, 2017","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Konami Digital Entertainment","Konami Digital Entertainment"
"2252","Eternal Return: Black Survival","Oct 14, 2020","Free","N/A (N/A)","2,000,000 .. 5,000,000","02:09 (02:53)","Nimble Neuron","Kakao Games Europe B.V. (EU,NA,OCE), Nimble Neuron (Excluding EU,NA,OCE)"
"2253","Business Tour - Board Game with Online Multiplayer","Jul 27, 2017","Free","N/A (N/A)","2,000,000 .. 5,000,000","03:39 (05:26)","Creobit","8Floor"
"4504","Warhammer 40,000: Dawn of War II: Retribution","Feb 28, 2011","$29.99","N/A (N/A)","2,000,000 .. 5,000,000","01:00 (00:20)","Relic Entertainment, Feral Interactive (Mac/Linux)","SEGA, Feral Interactive (Mac/Linux)"
"4537","Orcs Must Die! 3","Jul 23, 2021","$29.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Robot Entertainment","Robot Entertainment"
"4593","Pacify","Feb 22, 2019","$4.99","N/A (N/A)","2,000,000 .. 5,000,000","01:24 (00:28)","Shawn Hitchcock","Hitchcock Games"
"4595","太吾绘卷 The Scroll Of Taiwu","Sep 20, 2018","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","ConchShip Games","ConchShip Games"
"4596","Cookie Clicker","Sep 1, 2021","$4.99","N/A (N/A)","2,000,000 .. 5,000,000","37:06 (35:20)","Orteil, DashNet","Playsaurus"
"4597","Plague Inc: Evolved","Feb 18, 2016","$14.99","N/A (N/A)","2,000,000 .. 5,000,000","00:21 (00:14)","Ndemic Creations","Ndemic Creations"
"4599","Baldur's Gate 3","Oct 6, 2020","$59.99","N/A (N/A)","2,000,000 .. 5,000,000","09:55 (12:14)","Larian Studios","Larian Studios"
"4600","Tabletop Simulator","Jun 5, 2015","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","06:07 (05:18)","Berserk Games","Berserk Games"
"4601","Dyson Sphere Program","Jan 20, 2021","$15.99","N/A (N/A)","2,000,000 .. 5,000,000","02:34 (03:35)","Youthcat Studio","Gamera Games"
"4602","Conan Exiles","May 8, 2018","$39.99","N/A (N/A)","2,000,000 .. 5,000,000","17:54 (26:15)","Funcom","Funcom"
"4603","Inscryption","Oct 19, 2021","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","04:34 (01:31)","Daniel Mullins Games","Devolver Digital"
"4604","The Long Dark","Aug 1, 2017","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","12:12 (08:04)","Hinterland Studio Inc.","Hinterland Studio Inc."
"4605","Totally Accurate Battle Simulator","Apr 1, 2021","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","03:01 (03:01)","Landfall","Landfall"
"4606","Space Engineers","Feb 28, 2019","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","17:29 (33:57)","Keen Software House","Keen Software House"
"4608","Satisfactory","Jun 8, 2020","$29.99","N/A (N/A)","2,000,000 .. 5,000,000","09:36 (05:50)","Coffee Stain Studios","Coffee Stain Publishing"
"4610","Bloons TD 6","Dec 17, 2018","$3.49","N/A (N/A)","2,000,000 .. 5,000,000","03:28 (01:29)","Ninja Kiwi","Ninja Kiwi"
"1","Sid Meier's Civilization IV","Oct 25, 2005","$19.99","N/A (N/A/94%)","1,000,000 .. 2,000,000","11:47 (03:55)","Firaxis Games","2K"
"2","Divinity: Original Sin - Enhanced Edition","Oct 27, 2015","$11.99","N/A (N/A/94%)","1,000,000 .. 2,000,000","01:51 (02:59)","Larian Studios","Larian Studios"
"4","Company of Heroes","Sep 11, 2006","$19.99","N/A (N/A/93%)","1,000,000 .. 2,000,000","00:01 (00:00)","Relic Entertainment","SEGA"
"5","Dwarf Fortress","Dec 6, 2022","$29.99","N/A (N/A/93%)","1,000,000 .. 2,000,000","24:09 (08:03)","Bay 12 Games","Kitfox Games"
"9","Rome: Total War - Collection","Sep 22, 2004","N/A","N/A (N/A/92%)","1,000,000 .. 2,000,000","00:00 (00:00)","CREATIVE ASSEMBLY","SEGA"
"13","Sid Meier's Civilization III Complete","Oct 25, 2006","$4.99","N/A (N/A/90%)","1,000,000 .. 2,000,000","00:16 (00:05)","Firaxis Games","2K"
"14","Braid","Apr 10, 2009","$4.99","N/A (N/A/90%)","1,000,000 .. 2,000,000","00:00 (00:00)","Number None","Number None"
"15","Into the Breach","Feb 27, 2018","$14.99","N/A (N/A/90%)","1,000,000 .. 2,000,000","01:30 (01:34)","Subset Games","Subset Games"
"23","Rise of Nations: Extended Edition","Jun 12, 2014","$19.99","N/A (N/A/89%)","1,000,000 .. 2,000,000","01:49 (00:36)","SkyBox Labs, Big Huge Games","Xbox Game Studios"
"34","Company of Heroes: Opposing Fronts","Sep 27, 2007","$19.99","N/A (N/A/87%)","1,000,000 .. 2,000,000","00:00 (00:00)","Relic Entertainment","SEGA"
"38","Orcs Must Die! Unchained","Apr 19, 2017","N/A","N/A (N/A/87%)","1,000,000 .. 2,000,000","00:00 (00:00)","Robot Entertainment","Robot Entertainment"
"41","Warhammer 40,000: Dawn of War - Dark Crusade","Oct 9, 2006","$12.99","N/A (N/A/87%)","1,000,000 .. 2,000,000","00:00 (00:00)","Relic Entertainment","SEGA"
"42","Divinity: Original Sin (Classic)","Jun 30, 2014","$11.99","N/A (N/A/87%)","1,000,000 .. 2,000,000","00:00 (00:00)","Larian Studios","Larian Studios"
"60","Warhammer 40,000: Dawn of War - Game of the Year Edition","Aug 7, 2007","$12.99","N/A (N/A/86%)","1,000,000 .. 2,000,000","02:29 (00:49)","Relic Entertainment","SEGA"
"61","Homeworld Remastered Collection","Feb 25, 2015","$34.99","N/A (N/A/86%)","1,000,000 .. 2,000,000","03:04 (02:02)","Gearbox Software, Aspyr (Mac)","Gearbox Publishing, Aspyr (Mac)"
"74","Shadow Tactics: Blades of the Shogun","Dec 6, 2016","$39.99","N/A (N/A/85%)","1,000,000 .. 2,000,000","00:00 (00:00)","Mimimi Games","Daedalic Entertainment"
"86","Warhammer 40,000: Dawn of War II Chaos Rising","Mar 10, 2010","$19.99","N/A (N/A/84%)","1,000,000 .. 2,000,000","00:00 (00:00)","Relic Entertainment, Feral Interactive (Mac/Linux)","SEGA, Feral Interactive (Mac/Linux)"
"91","Planet Coaster","Nov 17, 2016","$11.24","N/A (N/A/84%)","1,000,000 .. 2,000,000","12:49 (07:27)","Frontier Developments, Aspyr (Mac)","Frontier Developments, Aspyr (Mac)"
"106","Sid Meier's Civilization IV: Colonization","Sep 23, 2008","$19.99","N/A (N/A/83%)","1,000,000 .. 2,000,000","00:00 (00:00)","Firaxis Games","2K"
"118","Orcs Must Die!","Oct 11, 2011","$9.99","N/A (N/A/83%)","1,000,000 .. 2,000,000","02:25 (00:48)","Robot Entertainment","Robot Entertainment"
"119","Monaco: What's Yours Is Mine","Apr 24, 2013","$14.99","N/A (N/A/83%)","1,000,000 .. 2,000,000","00:00 (00:00)","Pocketwatch Games","Humble Games"
"122","The Riftbreaker","Oct 14, 2021","$29.99","N/A (N/A/83%)","1,000,000 .. 2,000,000","11:32 (07:41)","EXOR Studios","EXOR Studios, Surefire.Games"
"142","Fallout Tactics: Brotherhood of Steel","Aug 19, 2009","$9.99","N/A (N/A/82%)","1,000,000 .. 2,000,000","00:00 (00:00)","14° East","Bethesda Softworks"
"155","Command & Conquer: Red Alert 3","Jan 8, 2009","$4.99","N/A (N/A/82%)","1,000,000 .. 2,000,000","03:55 (03:01)","EA Los Angeles","Electronic Arts"
"159","ENDLESS Legend","Sep 18, 2014","$29.99","N/A (N/A/82%)","1,000,000 .. 2,000,000","00:00 (00:00)","AMPLITUDE Studios","SEGA"
"160","Command & Conquer Remastered Collection","Jun 5, 2020","$7.99","N/A (N/A/82%)","1,000,000 .. 2,000,000","01:18 (00:52)","Petroglyph, Lemon Sky Studios","Electronic Arts"
"192","Stronghold HD","Oct 21, 2013","$5.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","00:00 (00:00)","FireFly Studios","FireFly Studios"
"193","Supreme Commander: Forged Alliance","Sep 28, 2011","$12.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","03:53 (03:25)","Gas Powered Games","Square Enix"
"195","Sid Meier's Civilization: Beyond Earth","Oct 23, 2014","$39.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","02:32 (01:41)","Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)"
"197","Total War: NAPOLEON – Definitive Edition","Feb 25, 2010","$24.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","01:03 (00:21)","CREATIVE ASSEMBLY, Feral Interactive (Mac)","SEGA, Feral Interactive (Mac)"
"199","Barotrauma","Mar 13, 2023","$34.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","03:36 (02:14)","FakeFish, Undertow Games","Daedalic Entertainment"
"201","Rising Storm 2: Vietnam","May 30, 2017","$4.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","03:21 (02:13)","Antimatter Games, Tripwire Interactive","Tripwire Interactive"
"233","Card Hunter","Jul 13, 2015","Free","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","The Knights of Unity","The Knights of Unity"
"238","Age of Wonders III","Mar 31, 2014","$29.99","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","Triumph Studios","Paradox Interactive"
"239","Natural Selection 2","Oct 30, 2012","$4.99","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","Unknown Worlds Entertainment","Unknown Worlds Entertainment"
"243","KARDS - The WWII Card Game","Apr 15, 2020","Free","N/A (N/A/80%)","1,000,000 .. 2,000,000","08:01 (02:40)","1939 Games","1939 Games"
"244","GWENT: The Witcher Card Game","May 19, 2020","Free","N/A (N/A/80%)","1,000,000 .. 2,000,000","13:22 (04:27)","CD PROJEKT RED","CD PROJEKT RED"
"246","Teardown","Apr 21, 2022","$29.99","N/A (N/A/80%)","1,000,000 .. 2,000,000","04:26 (05:18)","Tuxedo Labs","Tuxedo Labs"
"268","Tropico 3","Oct 20, 2009","$9.99","N/A (N/A/79%)","1,000,000 .. 2,000,000","00:00 (00:00)","Haemimont Games","Kalypso Media Digital"
"308","Wargame: Red Dragon","Apr 17, 2014","$29.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","07:01 (03:39)","Eugen Systems","Eugen Systems"
"310","Tropico 6","Mar 29, 2019","$39.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","00:01 (00:00)","Limbic Entertainment, Realmforge Studios","Kalypso Media"
"312","BATTLETECH","Apr 24, 2018","$39.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","00:00 (00:00)","Harebrained Schemes","Paradox Interactive"
