"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"3","Dota 2","Jul 9, 2013","Free","N/A (N/A/90%)","200,000,000 .. 500,000,000","23:13 (12:39)","Valve","Valve"
"1","Team Fortress 2","Oct 10, 2007","Free","N/A (N/A/92%)","50,000,000 .. 100,000,000","22:50 (04:50)","Valve","Valve"
"5","Apex Legends","Nov 4, 2020","Free","N/A (N/A/88%)","50,000,000 .. 100,000,000","13:35 (06:10)","Respawn Entertainment","Electronic Arts"
"20","Counter-Strike: Global Offensive","Aug 21, 2012","Free","N/A (N/A/83%)","50,000,000 .. 100,000,000","12:41 (04:58)","Valve, Hidden Path Entertainment","Valve"
"3667","PUBG: BATTLEGROUNDS","Dec 21, 2017","Free","N/A (N/A)","50,000,000 .. 100,000,000","11:22 (03:08)","KRAFTON, Inc.","KRAFTON, Inc."
"11","Path of Exile","Oct 23, 2013","Free","N/A (N/A/86%)","20,000,000 .. 50,000,000","19:23 (13:09)","Grinding Gear Games","Grinding Gear Games"
"19","Destiny 2","Oct 1, 2019","Free","N/A (N/A/83%)","20,000,000 .. 50,000,000","25:41 (12:21)","Bungie","Bungie"
"29","War Thunder","Aug 15, 2013","Free","N/A (N/A/81%)","20,000,000 .. 50,000,000","16:58 (04:43)","Gaijin Entertainment","Gaijin Distribution KFT"
"71","Warframe","Mar 25, 2013","Free","N/A (N/A/69%)","20,000,000 .. 50,000,000","19:59 (02:40)","Digital Extremes","Digital Extremes"
"3397","Brawlhalla","Oct 17, 2017","Free","N/A (N/A)","20,000,000 .. 50,000,000","02:57 (00:53)","Blue Mammoth Games","Ubisoft"
"3398","Unturned","Jul 7, 2017","Free","N/A (N/A)","20,000,000 .. 50,000,000","66:18 (05:29)","Smartly Dressed Games","Smartly Dressed Games"
"3666","Lost Ark","Feb 11, 2022","Free","N/A (N/A)","20,000,000 .. 50,000,000","32:27 (24:41)","Smilegate RPG","Amazon Games"
"17","SMITE","Sep 8, 2015","Free","N/A (N/A/83%)","10,000,000 .. 20,000,000","15:22 (09:01)","Titan Forge Games","Hi-Rez Studios"
"18","Paladins","May 8, 2018","Free","N/A (N/A/83%)","10,000,000 .. 20,000,000","18:31 (03:42)","Evil Mojo Games","Hi-Rez Studios"
"28","World of Warships","Nov 15, 2017","Free","N/A (N/A/81%)","10,000,000 .. 20,000,000","13:08 (24:01)","Wargaming Group Limited","Wargaming Group Limited"
"66","Z1 Battle Royale","Feb 28, 2018","Free","N/A (N/A/70%)","10,000,000 .. 20,000,000","00:00 (00:00)","Daybreak Game Company","Daybreak Game Company"
"88","Warface","Apr 12, 2012","Free","N/A (N/A/62%)","10,000,000 .. 20,000,000","14:15 (14:15)","MY.GAMES","MY.GAMES"
"3379","Minion Masters","May 24, 2019","Free","N/A (N/A)","10,000,000 .. 20,000,000","17:52 (34:41)","BetaDwarf","BetaDwarf"
"3381","Black Squad","Jun 26, 2019","Free","N/A (N/A)","10,000,000 .. 20,000,000","02:21 (03:41)","VALOFE, NS STUDIO","VALOFE"
"3385","Trove","Jul 9, 2015","N/A","N/A (N/A)","10,000,000 .. 20,000,000","00:21 (00:08)","gamigo US Inc.","gamigo US Inc."
"3387","Ring of Elysium","Sep 19, 2018","Free","N/A (N/A)","10,000,000 .. 20,000,000","02:15 (01:30)","Aurora Studio","TCH Scarlet Limited"
"3388","Robocraft","Aug 24, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Freejam","Freejam"
"3389","Heroes & Generals","Oct 18, 2016","Free","N/A (N/A)","10,000,000 .. 20,000,000","01:50 (02:25)","TLM Partners","TLM Partners"
"3391","World of Tanks Blitz","Nov 9, 2016","Free","N/A (N/A)","10,000,000 .. 20,000,000","02:56 (03:05)","Wargaming Group Limited","Wargaming Group Limited"
"3393","Halo Infinite","Nov 15, 2021","Free","N/A (N/A)","10,000,000 .. 20,000,000","02:19 (01:50)","343 Industries","Xbox Game Studios"
"3394","VRChat","Feb 1, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","11:08 (02:21)","VRChat Inc.","VRChat Inc."
"12","STAR WARS: The Old Republic","Dec 20, 2011","Free","N/A (N/A/85%)","5,000,000 .. 10,000,000","18:02 (15:25)","BioWare","Electronic Arts"
"15","PlanetSide 2","Nov 20, 2012","Free","N/A (N/A/84%)","5,000,000 .. 10,000,000","02:42 (03:36)","Rogue Planet Games","Daybreak Game Company"
"43","Evolve Stage 2","Feb 10, 2015","N/A","N/A (N/A/77%)","5,000,000 .. 10,000,000","00:00 (00:00)","Turtle Rock Studios","2K"
"54","Neverwinter","Dec 5, 2013","Free","N/A (N/A/74%)","5,000,000 .. 10,000,000","05:37 (05:37)","Cryptic Studios","Gearbox Publishing"
"61","Loadout","Jan 31, 2014","N/A","N/A (N/A/72%)","5,000,000 .. 10,000,000","00:00 (00:00)","Edge of Reality","Edge of Reality"
"86","Dirty Bomb","Jun 2015","Free","N/A (N/A/63%)","5,000,000 .. 10,000,000","00:00 (00:00)","Splash Damage","Warchest Ltd."
"87","Fallout Shelter","Mar 29, 2017","Free","N/A (N/A/63%)","5,000,000 .. 10,000,000","05:31 (09:01)","Bethesda Game Studios","Bethesda Softworks"
"3284","Freestyle 2: Street Basketball","Apr 1, 2015","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","JOYCITY","JOYCITY"
"3342","Infestation: The New Z","Nov 22, 2016","Free","N/A (N/A)","5,000,000 .. 10,000,000","11:44 (03:54)","Fredaikis AB","OP Productions LLC"
"3351","KurtzPel","Apr 30, 2019","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","KOG","KOG"
"3353","theHunter Classic","Jun 3, 2014","Free","N/A (N/A)","5,000,000 .. 10,000,000","08:49 (11:18)","Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios"
"3355","APB Reloaded","Dec 6, 2011","Free","N/A (N/A)","5,000,000 .. 10,000,000","13:16 (04:25)","Reloaded Productions","Little Orbit"
"3359","Sven Co-op","Jan 19, 1999","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Sven Co-op team","Sven Co-op team"
"3362","Counter-Strike Nexon: Studio","Oct 7, 2014","Free","N/A (N/A)","5,000,000 .. 10,000,000","01:26 (00:28)","Valve, NEXON","NEXON"
"3373","Realm Royale","Jun 5, 2018","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:40 (00:34)","Heroic Leap Games","Hi-Rez Studios"
"3376","AdVenture Capitalist","Mar 30, 2015","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:33 (00:21)","Hyper Hippo Games","Hyper Hippo Games"
"3377","Clicker Heroes","May 13, 2015","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:57 (00:37)","Playsaurus","Playsaurus"
"3378","World of Tanks","Apr 28, 2021","Free","N/A (N/A)","5,000,000 .. 10,000,000","17:50 (17:49)","Wargaming Group Limited","Wargaming Group Limited"
"3380","No More Room in Hell","Oct 31, 2011","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:18 (00:12)","No More Room in Hell Team","Lever Games"
"3386","Dota Underlords","Jun 20, 2019","Free","N/A (N/A)","5,000,000 .. 10,000,000","06:31 (14:53)","Valve","Valve"
"3390","Splitgate: Arena Warfare","May 24, 2019","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:52 (00:17)","1047 Games","1047 Games"
"3395","SCP: Secret Laboratory","Dec 29, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","09:54 (09:50)","Northwood Studios","Northwood Studios"
"3396","Doki Doki Literature Club!","Sep 22, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","02:45 (01:49)","Team Salvato","Team Salvato"
"3652","Gene Shift Auto","May 23, 2017","N/A","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Nik Nak Studios","Nik Nak Studios"
"3664","MultiVersus","Jul 19, 2022","N/A","N/A (N/A)","5,000,000 .. 10,000,000","00:35 (00:35)","Player First Games","Warner Bros. Games"
"3665","The Sims 4","Sep 2, 2014","Free","N/A (N/A)","5,000,000 .. 10,000,000","03:57 (02:55)","Maxis","Electronic Arts"
"4","EVE Online","May 6, 2003","Free","N/A (N/A/88%)","2,000,000 .. 5,000,000","02:14 (01:29)","CCP","CCP"
"10","The Lord of the Rings Online","Jun 6, 2012","Free","N/A (N/A/86%)","2,000,000 .. 5,000,000","00:00 (00:00)","Standing Stone Games, LLC","Standing Stone Games, LLC"
"13","Battlerite","Nov 8, 2017","Free","N/A (N/A/85%)","2,000,000 .. 5,000,000","00:14 (00:04)","Stunlock Studios","Stunlock Studios"
"14","RIFT","Oct 24, 2013","Free","N/A (N/A/84%)","2,000,000 .. 5,000,000","00:00 (00:00)","gamigo US Inc.","gamigo US Inc."
"23","Realm of the Mad God Exalt","Feb 20, 2012","Free","N/A (N/A/82%)","2,000,000 .. 5,000,000","13:56 (18:07)","Wild Shadow Studios, Deca Games","Deca Games"
"24","Crusader Kings II","Feb 14, 2012","Free","N/A (N/A/82%)","2,000,000 .. 5,000,000","09:36 (15:40)","Paradox Development Studio","Paradox Interactive"
"38","The Awesome Adventures of Captain Spirit","Jun 25, 2018","N/A","N/A (N/A/79%)","2,000,000 .. 5,000,000","02:55 (00:58)","DONTNOD Entertainment","Square Enix"
"40","Awesomenauts - the 2D moba","Aug 1, 2012","Free","N/A (N/A/78%)","2,000,000 .. 5,000,000","03:07 (01:02)","Ronimo Games","Ronimo Games"
"50","Star Conflict","Feb 27, 2013","Free","N/A (N/A/75%)","2,000,000 .. 5,000,000","00:35 (00:23)","Star Gem Inc.","Gaijin Distribution KFT"
"51","Blacklight: Retribution","Jul 2, 2012","N/A","N/A (N/A/75%)","2,000,000 .. 5,000,000","00:00 (00:00)","Hardsuit Labs, Inc.","Hardsuit Labs, Inc."
"59","Block N Load","Apr 30, 2015","Free","N/A (N/A/72%)","2,000,000 .. 5,000,000","00:00 (00:00)","Toadman Interactive, Artplant","Toadman Interactive"
"60","DC Universe Online","Nov 2, 2011","Free","N/A (N/A/72%)","2,000,000 .. 5,000,000","00:00 (00:00)","Dimensional Ink Games","Daybreak Game Company"
"62","Albion Online","Jul 17, 2017","Free","N/A (N/A/72%)","2,000,000 .. 5,000,000","29:38 (17:02)","Sandbox Interactive GmbH","Sandbox Interactive GmbH"
"76","Star Trek Online","Feb 2, 2010","Free","N/A (N/A/66%)","2,000,000 .. 5,000,000","01:22 (00:48)","Cryptic Studios","Gearbox Publishing"
"81","Defiance","Jun 4, 2014","N/A","N/A (N/A/64%)","2,000,000 .. 5,000,000","00:00 (00:00)","Trion Worlds","Trion Worlds"
"82","Spiral Knights","Jun 14, 2011","Free","N/A (N/A/64%)","2,000,000 .. 5,000,000","03:58 (01:19)","Grey Havens","Grey Havens"
"92","Crucible Beta","May 20, 2020","N/A","N/A (N/A/56%)","2,000,000 .. 5,000,000","00:00 (00:00)","Relentless Studios","Amazon Games"
"3212","Knight Online","Jan 25, 2016","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:10 (00:03)","Noah System, Mgame","NTTGame"
"3224","Line of Sight","Jan 31, 2017","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:19 (00:06)","BlackSpot Entertainment","BlackSpot Entertainment"
"3235","Argo","Jun 22, 2017","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Bohemia Interactive","Bohemia Interactive"
"3254","Aura Kingdom","Jul 2014","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:12 (00:04)","X-Legend","Aeria Games"
"3261","GunZ 2: The Second Duel","May 1, 2014","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Masangsoft, Inc.","Masangsoft, Inc."
"3278","S.K.I.L.L. - Special Force 2 (Shooter)","Sep 12, 2013","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Dragonfly GF Co., LTD","Space Budgie"
"3281","America's Army: Proving Grounds","Oct 1, 2015","N/A","N/A (N/A)","2,000,000 .. 5,000,000","161:31 (107:40)","U.S. Army","U.S. Army"
"3289","Stay Out","Nov 27, 2019","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:29 (00:19)","MOBITECH LLC","MOBITECH LLC"
"3296","Gotham City Impostors Free to Play","Aug 30, 2012","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Monolith Productions, Inc.","Warner Bros. Interactive Entertainment"
"3299","Metin2","Dec 17, 2006","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","WEBZEN Inc.","Gameforge 4D GmbH"
"3302","WARMODE","Sep 13, 2019","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Novalink","Novalink"
"3309","Last Man Standing","Mar 29, 2017","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Free Reign Entertainment, Free Reign Entertainment","Free Reign Entertainment"
"3311","Century: Age of Ashes","Dec 2, 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:34 (00:22)","Playwing LTD","Playwing LTD"
"3312","SoulWorker - Anime Action MMO","Feb 26, 2018","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Lion Games Co., Ltd.","Gameforge 4D GmbH"
"3324","Codename CURE","Oct 31, 2017","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Hoobalugalar_X","Hoobalugalar_X"
"3325","RaceRoom Racing Experience","Feb 12, 2013","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:07 (00:02)","KW Studios","KW Studios, RaceRoom Entertainment AG"
"3326","Toribash","Mar 1, 2006","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Nabi Studios","Nicalis, Inc."
"3327","Survarium","Apr 2, 2015","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Vostok Games","Vostok Games"
"3330","World of Guns: Gun Disassembly","May 21, 2014","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Noble Empire Corp.","Noble Empire Corp."
"3331","封灵档案","Mar 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:04 (00:02)","（Hong Kong）GKD","（Hong Kong）GKD"
"3333","Phantasy Star Online 2","Aug 5, 2020","Free","N/A (N/A)","2,000,000 .. 5,000,000","11:23 (05:42)","SEGA","SEGA"
"3334","BLOCKADE 3D","Nov 5, 2014","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Novalink","Novalink"
"3335","Bless Unleashed","Aug 6, 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:04 (00:01)","VALOFE","VALOFE"
"3336","Dead Frontier 2","Jul 15, 2019","Free","N/A (N/A)","2,000,000 .. 5,000,000","04:00 (02:23)","Creaky Corpse Ltd","Creaky Corpse Ltd"
"3337","Dungeon Defenders II","Jun 20, 2017","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:54 (00:18)","Chromatic Games","Chromatic Games"
"3338","Iron Snout","Jan 27, 2016","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:07 (00:02)","SnoutUp","SnoutUp"
"3339","Magic Duels","Jul 29, 2015","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Stainless Games Ltd.","Wizards of the Coast LLC"
"3340","The Expendabros","Aug 5, 2014","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Free Lives","Devolver Digital"
"3344","Alien Swarm: Reactive Drop","Apr 20, 2017","Free","N/A (N/A)","2,000,000 .. 5,000,000","01:27 (01:26)","Reactive Drop Team","Reactive Drop Team"
"3347","Conqueror's Blade","May 30, 2019","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:23 (00:15)","Booming Tech","MY.GAMES"
"3350","Transformice","Jan 30, 2015","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:18 (00:06)","Atelier 801","Atelier 801"
"3354","Russian Fishing 4","Nov 10, 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","29:38 (24:31)","FishSoft, LLC","FishSoft, LLC"
"3356","DCS World Steam Edition","Mar 18, 2018","Free","N/A (N/A)","2,000,000 .. 5,000,000","05:07 (06:12)","Eagle Dynamics SA","advocatus"
"3358","RISK: Global Domination","Feb 19, 2020","Free","N/A (N/A)","2,000,000 .. 5,000,000","01:07 (01:12)","SMG Studio","SMG Studio"
