Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Dota 2,2013-07-09,0.0,"200,000,000 .. 500,000,000",Valve,Valve,2.00E+08,5.00E+08,200.0M,500.0M
Team Fortress 2,2007-10-10,0.0,"50,000,000 .. 100,000,000",Valve,Valve,5.00E+07,1.00E+08,50.0M,100.0M
Apex Legends,2020-11-04,0.0,"50,000,000 .. 100,000,000",Respawn Entertainment,Electronic Arts,5.00E+07,1.00E+08,50.0M,100.0M
Counter-Strike: Global Offensive,2012-08-21,0.0,"50,000,000 .. 100,000,000","Valve, Hidden Path Entertainment",Valve,5.00E+07,1.00E+08,50.0M,100.0M
PUBG: BATTLEGROUNDS,2017-12-21,0.0,"50,000,000 .. 100,000,000","KRAFTON, Inc.","KRAFTON, Inc.",5.00E+07,1.00E+08,50.0M,100.0M
Path of Exile,2013-10-23,0.0,"20,000,000 .. 50,000,000",Grinding Gear Games,Grinding Gear Games,2.00E+07,5.00E+07,20.0M,50.0M
Destiny 2,2019-10-01,0.0,"20,000,000 .. 50,000,000",Bungie,Bungie,2.00E+07,5.00E+07,20.0M,50.0M
War Thunder,2013-08-15,0.0,"20,000,000 .. 50,000,000",Gaijin Entertainment,Gaijin Distribution KFT,2.00E+07,5.00E+07,20.0M,50.0M
Warframe,2013-03-25,0.0,"20,000,000 .. 50,000,000",Digital Extremes,Digital Extremes,2.00E+07,5.00E+07,20.0M,50.0M
Brawlhalla,2017-10-17,0.0,"20,000,000 .. 50,000,000",Blue Mammoth Games,Ubisoft,2.00E+07,5.00E+07,20.0M,50.0M
Unturned,2017-07-07,0.0,"20,000,000 .. 50,000,000",Smartly Dressed Games,Smartly Dressed Games,2.00E+07,5.00E+07,20.0M,50.0M
Lost Ark,2022-02-11,0.0,"20,000,000 .. 50,000,000",Smilegate RPG,Amazon Games,2.00E+07,5.00E+07,20.0M,50.0M
SMITE,2015-09-08,0.0,"10,000,000 .. 20,000,000",Titan Forge Games,Hi-Rez Studios,1.00E+07,2.00E+07,10.0M,20.0M
Paladins,2018-05-08,0.0,"10,000,000 .. 20,000,000",Evil Mojo Games,Hi-Rez Studios,1.00E+07,2.00E+07,10.0M,20.0M
World of Warships,2017-11-15,0.0,"10,000,000 .. 20,000,000",Wargaming Group Limited,Wargaming Group Limited,1.00E+07,2.00E+07,10.0M,20.0M
Z1 Battle Royale,2018-02-28,0.0,"10,000,000 .. 20,000,000",Daybreak Game Company,Daybreak Game Company,1.00E+07,2.00E+07,10.0M,20.0M
Warface,2012-04-12,0.0,"10,000,000 .. 20,000,000",MY.GAMES,MY.GAMES,1.00E+07,2.00E+07,10.0M,20.0M
Minion Masters,2019-05-24,0.0,"10,000,000 .. 20,000,000",BetaDwarf,BetaDwarf,1.00E+07,2.00E+07,10.0M,20.0M
Black Squad,2019-06-26,0.0,"10,000,000 .. 20,000,000","VALOFE, NS STUDIO",VALOFE,1.00E+07,2.00E+07,10.0M,20.0M
Ring of Elysium,2018-09-19,0.0,"10,000,000 .. 20,000,000",Aurora Studio,TCH Scarlet Limited,1.00E+07,2.00E+07,10.0M,20.0M
Robocraft,2017-08-24,0.0,"10,000,000 .. 20,000,000",Freejam,Freejam,1.00E+07,2.00E+07,10.0M,20.0M
Heroes & Generals,2016-10-18,0.0,"10,000,000 .. 20,000,000",TLM Partners,TLM Partners,1.00E+07,2.00E+07,10.0M,20.0M
World of Tanks Blitz,2016-11-09,0.0,"10,000,000 .. 20,000,000",Wargaming Group Limited,Wargaming Group Limited,1.00E+07,2.00E+07,10.0M,20.0M
Halo Infinite,2021-11-15,0.0,"10,000,000 .. 20,000,000",343 Industries,Xbox Game Studios,1.00E+07,2.00E+07,10.0M,20.0M
VRChat,2017-02-01,0.0,"10,000,000 .. 20,000,000",VRChat Inc.,VRChat Inc.,1.00E+07,2.00E+07,10.0M,20.0M
STAR WARS: The Old Republic,2011-12-20,0.0,"5,000,000 .. 10,000,000",BioWare,Electronic Arts,5.00E+06,1.00E+07,5.0M,10.0M
PlanetSide 2,2012-11-20,0.0,"5,000,000 .. 10,000,000",Rogue Planet Games,Daybreak Game Company,5.00E+06,1.00E+07,5.0M,10.0M
Neverwinter,2013-12-05,0.0,"5,000,000 .. 10,000,000",Cryptic Studios,Gearbox Publishing,5.00E+06,1.00E+07,5.0M,10.0M
Dirty Bomb,2015-06-01,0.0,"5,000,000 .. 10,000,000",Splash Damage,Warchest Ltd.,5.00E+06,1.00E+07,5.0M,10.0M
Fallout Shelter,2017-03-29,0.0,"5,000,000 .. 10,000,000",Bethesda Game Studios,Bethesda Softworks,5.00E+06,1.00E+07,5.0M,10.0M
Freestyle 2: Street Basketball,2015-04-01,0.0,"5,000,000 .. 10,000,000",JOYCITY,JOYCITY,5.00E+06,1.00E+07,5.0M,10.0M
