"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"53","New World","Sep 28, 2021","$39.99","N/A (N/A/70%)","50,000,000 .. 100,000,000","20:36 (15:09)","Amazon Games","Amazon Games"
"1618","Lost Ark","Feb 11, 2022","Free","N/A (N/A)","50,000,000 .. 100,000,000","32:27 (24:41)","Smilegate RPG","Amazon Games"
"1620","PUBG: BATTLEGROUNDS","Dec 21, 2017","Free","N/A (N/A)","50,000,000 .. 100,000,000","11:22 (03:08)","KRAFTON, Inc.","KRAFTON, Inc."
"5","Path of Exile","Oct 23, 2013","Free","N/A (N/A/86%)","20,000,000 .. 50,000,000","19:23 (13:09)","Grinding Gear Games","Grinding Gear Games"
"19","War Thunder","Aug 15, 2013","Free","N/A (N/A/81%)","20,000,000 .. 50,000,000","16:58 (04:43)","Gaijin Entertainment","Gaijin Distribution KFT"
"23","Fall Guys: Ultimate Knockout","Aug 3, 2020","N/A","N/A (N/A/80%)","20,000,000 .. 50,000,000","00:41 (00:44)","Mediatonic","SmashGames"
"54","ARK: Survival Evolved","Aug 27, 2017","$19.99","N/A (N/A/70%)","20,000,000 .. 50,000,000","26:56 (09:49)","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard"
"58","Rust","Feb 8, 2018","$39.99","N/A (N/A/69%)","20,000,000 .. 50,000,000","22:57 (10:33)","Facepunch Studios","Facepunch Studios"
"13","Paladins","May 8, 2018","Free","N/A (N/A/83%)","10,000,000 .. 20,000,000","18:31 (03:42)","Evil Mojo Games","Hi-Rez Studios"
"18","World of Warships","Nov 15, 2017","Free","N/A (N/A/81%)","10,000,000 .. 20,000,000","13:08 (24:01)","Wargaming Group Limited","Wargaming Group Limited"
"52","Z1 Battle Royale","Feb 28, 2018","Free","N/A (N/A/70%)","10,000,000 .. 20,000,000","00:00 (00:00)","Daybreak Game Company","Daybreak Game Company"
"68","Warface","Apr 12, 2012","Free","N/A (N/A/62%)","10,000,000 .. 20,000,000","14:15 (14:15)","MY.GAMES","MY.GAMES"
"778","Trove","Jul 9, 2015","N/A","N/A (N/A)","10,000,000 .. 20,000,000","00:21 (00:08)","gamigo US Inc.","gamigo US Inc."
"779","Ring of Elysium","Sep 19, 2018","Free","N/A (N/A)","10,000,000 .. 20,000,000","02:15 (01:30)","Aurora Studio","TCH Scarlet Limited"
"780","Robocraft","Aug 24, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Freejam","Freejam"
"781","Heroes & Generals","Oct 18, 2016","Free","N/A (N/A)","10,000,000 .. 20,000,000","01:50 (02:25)","TLM Partners","TLM Partners"
"782","World of Tanks Blitz","Nov 9, 2016","Free","N/A (N/A)","10,000,000 .. 20,000,000","02:56 (03:05)","Wargaming Group Limited","Wargaming Group Limited"
"783","VRChat","Feb 1, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","11:08 (02:21)","VRChat Inc.","VRChat Inc."
"1529","Street Warriors Online","Dec 16, 2016","$1.99","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Crazy Rocks Studios","Crazy Rocks Studios"
"6","STAR WARS: The Old Republic","Dec 20, 2011","Free","N/A (N/A/85%)","5,000,000 .. 10,000,000","18:02 (15:25)","BioWare","Electronic Arts"
"10","PlanetSide 2","Nov 20, 2012","Free","N/A (N/A/84%)","5,000,000 .. 10,000,000","02:42 (03:36)","Rogue Planet Games","Daybreak Game Company"
"22","The Elder Scrolls Online","May 22, 2017","$5.99","N/A (N/A/80%)","5,000,000 .. 10,000,000","34:04 (13:45)","ZeniMax Online Studios","Bethesda Softworks"
"39","Neverwinter","Dec 5, 2013","Free","N/A (N/A/74%)","5,000,000 .. 10,000,000","05:37 (05:37)","Cryptic Studios","Gearbox Publishing"
"41","Black Desert","May 24, 2017","$9.99","N/A (N/A/73%)","5,000,000 .. 10,000,000","50:05 (29:09)","Pearl Abyss","Pearl Abyss"
"624","Z1 Battle Royale: Test Server","Feb 24, 2016","N/A","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Daybreak Game Company","Daybreak Game Company"
"740","Freestyle 2: Street Basketball","Apr 1, 2015","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","JOYCITY","JOYCITY"
"761","Infestation: The New Z","Nov 22, 2016","Free","N/A (N/A)","5,000,000 .. 10,000,000","11:44 (03:54)","Fredaikis AB","OP Productions LLC"
"766","APB Reloaded","Dec 6, 2011","Free","N/A (N/A)","5,000,000 .. 10,000,000","13:16 (04:25)","Reloaded Productions","Little Orbit"
"768","Counter-Strike Nexon: Studio","Oct 7, 2014","Free","N/A (N/A)","5,000,000 .. 10,000,000","01:26 (00:28)","Valve, NEXON","NEXON"
"777","World of Tanks","Apr 28, 2021","Free","N/A (N/A)","5,000,000 .. 10,000,000","17:50 (17:49)","Wargaming Group Limited","Wargaming Group Limited"
"1551","Gene Shift Auto","May 23, 2017","N/A","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Nik Nak Studios","Nik Nak Studios"
"1617","NARAKA: BLADEPOINT","Aug 11, 2021","$19.99","N/A (N/A)","5,000,000 .. 10,000,000","16:19 (06:14)","24 Entertainment","NetEase Games Global"
"1619","DayZ","Dec 13, 2018","$44.99","N/A (N/A)","5,000,000 .. 10,000,000","10:14 (05:38)","Bohemia Interactive","Bohemia Interactive"
"3","EVE Online","May 6, 2003","Free","N/A (N/A/88%)","2,000,000 .. 5,000,000","02:14 (01:29)","CCP","CCP"
"4","The Lord of the Rings Online","Jun 6, 2012","Free","N/A (N/A/86%)","2,000,000 .. 5,000,000","00:00 (00:00)","Standing Stone Games, LLC","Standing Stone Games, LLC"
"9","RIFT","Oct 24, 2013","Free","N/A (N/A/84%)","2,000,000 .. 5,000,000","00:00 (00:00)","gamigo US Inc.","gamigo US Inc."
"12","FINAL FANTASY XIV Online","Feb 18, 2014","$19.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","13:39 (11:58)","Square Enix","Square Enix"
"15","Realm of the Mad God Exalt","Feb 20, 2012","Free","N/A (N/A/82%)","2,000,000 .. 5,000,000","13:56 (18:07)","Wild Shadow Studios, Deca Games","Deca Games"
"21","Elite Dangerous","Apr 2, 2015","$7.49","N/A (N/A/80%)","2,000,000 .. 5,000,000","05:27 (07:36)","Frontier Developments","Frontier Developments"
"28","Hell Let Loose","Jul 27, 2021","$39.99","N/A (N/A/79%)","2,000,000 .. 5,000,000","09:43 (07:35)","Black Matter Pty Ltd","Team17"
"36","Red Orchestra 2: Heroes of Stalingrad with Rising Storm","Sep 13, 2011","$19.99","N/A (N/A/76%)","2,000,000 .. 5,000,000","01:13 (00:48)","Tripwire Interactive","Tripwire Interactive"
"38","Star Conflict","Feb 27, 2013","Free","N/A (N/A/75%)","2,000,000 .. 5,000,000","00:35 (00:23)","Star Gem Inc.","Gaijin Distribution KFT"
"44","Block N Load","Apr 30, 2015","Free","N/A (N/A/72%)","2,000,000 .. 5,000,000","00:00 (00:00)","Toadman Interactive, Artplant","Toadman Interactive"
"45","DC Universe Online","Nov 2, 2011","Free","N/A (N/A/72%)","2,000,000 .. 5,000,000","00:00 (00:00)","Dimensional Ink Games","Daybreak Game Company"
"46","Albion Online","Jul 17, 2017","Free","N/A (N/A/72%)","2,000,000 .. 5,000,000","29:38 (17:02)","Sandbox Interactive GmbH","Sandbox Interactive GmbH"
"60","Star Trek Online","Feb 2, 2010","Free","N/A (N/A/66%)","2,000,000 .. 5,000,000","01:22 (00:48)","Cryptic Studios","Gearbox Publishing"
"64","Defiance","Jun 4, 2014","N/A","N/A (N/A/64%)","2,000,000 .. 5,000,000","00:00 (00:00)","Trion Worlds","Trion Worlds"
