Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
New World,2021-09-28,39.99,"50,000,000 .. 100,000,000",Amazon Games,Amazon Games,5.00E+07,1.00E+08,50.0M,100.0M
Lost Ark,2022-02-11,0.0,"50,000,000 .. 100,000,000",Smilegate RPG,Amazon Games,5.00E+07,1.00E+08,50.0M,100.0M
PUBG: BATTLEGROUNDS,2017-12-21,0.0,"50,000,000 .. 100,000,000","KRAFTON, Inc.","KRAFTON, Inc.",5.00E+07,1.00E+08,50.0M,100.0M
Path of Exile,2013-10-23,0.0,"20,000,000 .. 50,000,000",Grinding Gear Games,Grinding Gear Games,2.00E+07,5.00E+07,20.0M,50.0M
War Thunder,2013-08-15,0.0,"20,000,000 .. 50,000,000",Gaijin Entertainment,Gaijin Distribution KFT,2.00E+07,5.00E+07,20.0M,50.0M
Fall Guys: Ultimate Knockout,2020-08-03,,"20,000,000 .. 50,000,000",Mediatonic,SmashGames,2.00E+07,5.00E+07,20.0M,50.0M
ARK: Survival Evolved,2017-08-27,19.99,"20,000,000 .. 50,000,000","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,2.00E+07,5.00E+07,20.0M,50.0M
Rust,2018-02-08,39.99,"20,000,000 .. 50,000,000",Facepunch Studios,Facepunch Studios,2.00E+07,5.00E+07,20.0M,50.0M
Paladins,2018-05-08,0.0,"10,000,000 .. 20,000,000",Evil Mojo Games,Hi-Rez Studios,1.00E+07,2.00E+07,10.0M,20.0M
World of Warships,2017-11-15,0.0,"10,000,000 .. 20,000,000",Wargaming Group Limited,Wargaming Group Limited,1.00E+07,2.00E+07,10.0M,20.0M
Z1 Battle Royale,2018-02-28,0.0,"10,000,000 .. 20,000,000",Daybreak Game Company,Daybreak Game Company,1.00E+07,2.00E+07,10.0M,20.0M
Warface,2012-04-12,0.0,"10,000,000 .. 20,000,000",MY.GAMES,MY.GAMES,1.00E+07,2.00E+07,10.0M,20.0M
Trove,2015-07-09,,"10,000,000 .. 20,000,000",gamigo US Inc.,gamigo US Inc.,1.00E+07,2.00E+07,10.0M,20.0M
Ring of Elysium,2018-09-19,0.0,"10,000,000 .. 20,000,000",Aurora Studio,TCH Scarlet Limited,1.00E+07,2.00E+07,10.0M,20.0M
Robocraft,2017-08-24,0.0,"10,000,000 .. 20,000,000",Freejam,Freejam,1.00E+07,2.00E+07,10.0M,20.0M
Heroes & Generals,2016-10-18,0.0,"10,000,000 .. 20,000,000",TLM Partners,TLM Partners,1.00E+07,2.00E+07,10.0M,20.0M
World of Tanks Blitz,2016-11-09,0.0,"10,000,000 .. 20,000,000",Wargaming Group Limited,Wargaming Group Limited,1.00E+07,2.00E+07,10.0M,20.0M
VRChat,2017-02-01,0.0,"10,000,000 .. 20,000,000",VRChat Inc.,VRChat Inc.,1.00E+07,2.00E+07,10.0M,20.0M
Street Warriors Online,2016-12-16,1.99,"10,000,000 .. 20,000,000",Crazy Rocks Studios,Crazy Rocks Studios,1.00E+07,2.00E+07,10.0M,20.0M
STAR WARS: The Old Republic,2011-12-20,0.0,"5,000,000 .. 10,000,000",BioWare,Electronic Arts,5.00E+06,1.00E+07,5.0M,10.0M
PlanetSide 2,2012-11-20,0.0,"5,000,000 .. 10,000,000",Rogue Planet Games,Daybreak Game Company,5.00E+06,1.00E+07,5.0M,10.0M
The Elder Scrolls Online,2017-05-22,5.99,"5,000,000 .. 10,000,000",ZeniMax Online Studios,Bethesda Softworks,5.00E+06,1.00E+07,5.0M,10.0M
Neverwinter,2013-12-05,0.0,"5,000,000 .. 10,000,000",Cryptic Studios,Gearbox Publishing,5.00E+06,1.00E+07,5.0M,10.0M
Black Desert,2017-05-24,9.99,"5,000,000 .. 10,000,000",Pearl Abyss,Pearl Abyss,5.00E+06,1.00E+07,5.0M,10.0M
Z1 Battle Royale: Test Server,2016-02-24,,"5,000,000 .. 10,000,000",Daybreak Game Company,Daybreak Game Company,5.00E+06,1.00E+07,5.0M,10.0M
Freestyle 2: Street Basketball,2015-04-01,0.0,"5,000,000 .. 10,000,000",JOYCITY,JOYCITY,5.00E+06,1.00E+07,5.0M,10.0M
Infestation: The New Z,2016-11-22,0.0,"5,000,000 .. 10,000,000",Fredaikis AB,OP Productions LLC,5.00E+06,1.00E+07,5.0M,10.0M
APB Reloaded,2011-12-06,0.0,"5,000,000 .. 10,000,000",Reloaded Productions,Little Orbit,5.00E+06,1.00E+07,5.0M,10.0M
Counter-Strike Nexon: Studio,2014-10-07,0.0,"5,000,000 .. 10,000,000","Valve, NEXON",NEXON,5.00E+06,1.00E+07,5.0M,10.0M
World of Tanks,2021-04-28,0.0,"5,000,000 .. 10,000,000",Wargaming Group Limited,Wargaming Group Limited,5.00E+06,1.00E+07,5.0M,10.0M
Gene Shift Auto,2017-05-23,,"5,000,000 .. 10,000,000",Nik Nak Studios,Nik Nak Studios,5.00E+06,1.00E+07,5.0M,10.0M
NARAKA: BLADEPOINT,2021-08-11,19.99,"5,000,000 .. 10,000,000",24 Entertainment,NetEase Games Global,5.00E+06,1.00E+07,5.0M,10.0M
DayZ,2018-12-13,44.99,"5,000,000 .. 10,000,000",Bohemia Interactive,Bohemia Interactive,5.00E+06,1.00E+07,5.0M,10.0M
EVE Online,2003-05-06,0.0,"2,000,000 .. 5,000,000",CCP,CCP,2.00E+06,5.00E+06,2.0M,5.0M
The Lord of the Rings Online,2012-06-06,0.0,"2,000,000 .. 5,000,000","Standing Stone Games, LLC","Standing Stone Games, LLC",2.00E+06,5.00E+06,2.0M,5.0M
RIFT,2013-10-24,0.0,"2,000,000 .. 5,000,000",gamigo US Inc.,gamigo US Inc.,2.00E+06,5.00E+06,2.0M,5.0M
FINAL FANTASY XIV Online,2014-02-18,19.99,"2,000,000 .. 5,000,000",Square Enix,Square Enix,2.00E+06,5.00E+06,2.0M,5.0M
Realm of the Mad God Exalt,2012-02-20,0.0,"2,000,000 .. 5,000,000","Wild Shadow Studios, Deca Games",Deca Games,2.00E+06,5.00E+06,2.0M,5.0M
Elite Dangerous,2015-04-02,7.49,"2,000,000 .. 5,000,000",Frontier Developments,Frontier Developments,2.00E+06,5.00E+06,2.0M,5.0M
Hell Let Loose,2021-07-27,39.99,"2,000,000 .. 5,000,000",Black Matter Pty Ltd,Team17,2.00E+06,5.00E+06,2.0M,5.0M
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,2011-09-13,19.99,"2,000,000 .. 5,000,000",Tripwire Interactive,Tripwire Interactive,2.00E+06,5.00E+06,2.0M,5.0M
Star Conflict,2013-02-27,0.0,"2,000,000 .. 5,000,000",Star Gem Inc.,Gaijin Distribution KFT,2.00E+06,5.00E+06,2.0M,5.0M
Block N Load,2015-04-30,0.0,"2,000,000 .. 5,000,000","Toadman Interactive, Artplant",Toadman Interactive,2.00E+06,5.00E+06,2.0M,5.0M
DC Universe Online,2011-11-02,0.0,"2,000,000 .. 5,000,000",Dimensional Ink Games,Daybreak Game Company,2.00E+06,5.00E+06,2.0M,5.0M
Albion Online,2017-07-17,0.0,"2,000,000 .. 5,000,000",Sandbox Interactive GmbH,Sandbox Interactive GmbH,2.00E+06,5.00E+06,2.0M,5.0M
Star Trek Online,2010-02-02,0.0,"2,000,000 .. 5,000,000",Cryptic Studios,Gearbox Publishing,2.00E+06,5.00E+06,2.0M,5.0M
Defiance,2014-06-04,,"2,000,000 .. 5,000,000",Trion Worlds,Trion Worlds,2.00E+06,5.00E+06,2.0M,5.0M
Spiral Knights,2011-06-14,0.0,"2,000,000 .. 5,000,000",Grey Havens,Grey Havens,2.00E+06,5.00E+06,2.0M,5.0M
Knight Online,2016-01-25,0.0,"2,000,000 .. 5,000,000","Noah System, Mgame",NTTGame,2.00E+06,5.00E+06,2.0M,5.0M
