Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text,dev_pub_relation,accion,aventura,deportes,early,estrategia,free,mmorpg,rpg,simulacion,indie,Release year,dev_code
New World,2021-09-28,39.99,"50,000,000 .. 100,000,000",Amazon Games,Amazon Games,5.00E+07,100000000.0,50.0M,100.0M,igual,1,1,0,0,0,0,1,1,0,0,2021.0,0
Left 4 Dead 2,2009-11-16,9.99,"20,000,000 .. 50,000,000",Valve,Valve,2.00E+07,50000000.0,20.0M,50.0M,igual,1,0,0,0,0,0,0,0,0,0,2009.0,1
Half-Life,1998-11-08,9.99,"10,000,000 .. 20,000,000",Valve,Valve,1.00E+07,20000000.0,10.0M,20.0M,igual,1,0,0,0,0,0,0,0,0,0,1998.0,1
Portal 2,2011-04-18,1.99,"10,000,000 .. 20,000,000",Valve,Valve,1.00E+07,20000000.0,10.0M,20.0M,igual,1,1,0,0,0,0,0,0,0,0,2011.0,1
Portal,2007-10-10,9.99,"10,000,000 .. 20,000,000",Valve,Valve,1.00E+07,20000000.0,10.0M,20.0M,igual,1,0,0,0,0,0,0,0,0,0,2007.0,1
Counter-Strike: Source,2004-11-01,9.99,"10,000,000 .. 20,000,000",Valve,Valve,1.00E+07,20000000.0,10.0M,20.0M,igual,1,0,0,0,0,0,0,0,0,0,2004.0,1
Counter-Strike,2000-11-01,9.99,"10,000,000 .. 20,000,000",Valve,Valve,1.00E+07,20000000.0,10.0M,20.0M,igual,1,0,0,0,0,0,0,0,0,0,2000.0,1
Monster Hunter: World,2018-08-09,29.99,"10,000,000 .. 20,000,000","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",1.00E+07,20000000.0,10.0M,20.0M,igual,1,0,0,0,0,0,0,0,0,0,2018.0,2
Half-Life 2: Deathmatch,2004-11-01,4.99,"10,000,000 .. 20,000,000",Valve,Valve,1.00E+07,20000000.0,10.0M,20.0M,igual,1,0,0,0,0,0,0,0,0,0,2004.0,1
Red Dead Redemption 2,2019-12-05,59.99,"5,000,000 .. 10,000,000",Rockstar Games,Rockstar Games,5.00E+06,10000000.0,5.0M,10.0M,igual,1,1,0,0,0,0,0,0,0,0,2019.0,3
Half-Life 2: Episode Two,2007-10-10,7.99,"5,000,000 .. 10,000,000",Valve,Valve,5.00E+06,10000000.0,5.0M,10.0M,igual,1,0,0,0,0,0,0,0,0,0,2007.0,1
Resident Evil 2,2019-01-24,39.99,"5,000,000 .. 10,000,000","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",5.00E+06,10000000.0,5.0M,10.0M,igual,1,0,0,0,0,0,0,0,0,0,2019.0,2
Day of Defeat: Source,2010-07-12,9.99,"5,000,000 .. 10,000,000",Valve,Valve,5.00E+06,10000000.0,5.0M,10.0M,igual,1,0,0,0,0,0,0,0,0,0,2010.0,1
Day of Defeat,2003-05-01,4.99,"5,000,000 .. 10,000,000",Valve,Valve,5.00E+06,10000000.0,5.0M,10.0M,igual,1,0,0,0,0,0,0,0,0,0,2003.0,1
Half-Life Deathmatch: Source,2006-05-01,9.99,"5,000,000 .. 10,000,000",Valve,Valve,5.00E+06,10000000.0,5.0M,10.0M,igual,1,0,0,0,0,0,0,0,0,0,2006.0,1
Team Fortress Classic,1999-04-01,4.99,"5,000,000 .. 10,000,000",Valve,Valve,5.00E+06,10000000.0,5.0M,10.0M,igual,1,0,0,0,0,0,0,0,0,0,1999.0,1
Deathmatch Classic,2001-06-01,4.99,"5,000,000 .. 10,000,000",Valve,Valve,5.00E+06,10000000.0,5.0M,10.0M,igual,1,0,0,0,0,0,0,0,0,0,2001.0,1
Half-Life 2,2004-11-16,9.99,"2,000,000 .. 5,000,000",Valve,Valve,2.00E+06,5000000.0,2.0M,5.0M,igual,1,0,0,0,0,0,0,0,0,0,2004.0,1
Half-Life: Alyx,2020-03-23,59.99,"2,000,000 .. 5,000,000",Valve,Valve,2.00E+06,5000000.0,2.0M,5.0M,igual,1,1,0,0,0,0,0,0,0,0,2020.0,1
Left 4 Dead,2008-11-17,9.99,"2,000,000 .. 5,000,000",Valve,Valve,2.00E+06,5000000.0,2.0M,5.0M,igual,1,0,0,0,0,0,0,0,0,0,2008.0,1
Devil May Cry 5,2019-03-07,29.99,"2,000,000 .. 5,000,000","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",2.00E+06,5000000.0,2.0M,5.0M,igual,1,0,0,0,0,0,0,0,0,0,2019.0,2
