Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
New World,2021-09-28,39.99,"50,000,000 .. 100,000,000",Amazon Games,Amazon Games,5.00E+07,1.00E+08,50.0M,100.0M
ELDEN RING,2022-02-24,59.99,"20,000,000 .. 50,000,000",FromSoftware Inc.,"FromSoftware Inc., Bandai Namco Entertainment",2.00E+07,5.00E+07,20.0M,50.0M
Path of Exile,2013-10-23,0.0,"20,000,000 .. 50,000,000",Grinding Gear Games,Grinding Gear Games,2.00E+07,5.00E+07,20.0M,50.0M
Cyberpunk 2077,2020-12-09,29.99,"20,000,000 .. 50,000,000",CD PROJEKT RED,CD PROJEKT RED,2.00E+07,5.00E+07,20.0M,50.0M
Terraria,2011-05-16,9.99,"20,000,000 .. 50,000,000",Re-Logic,Re-Logic,2.00E+07,5.00E+07,20.0M,50.0M
PAYDAY 2,2013-08-13,9.99,"20,000,000 .. 50,000,000",OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,2.00E+07,5.00E+07,20.0M,50.0M
ARK: Survival Evolved,2017-08-27,19.99,"20,000,000 .. 50,000,000","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,2.00E+07,5.00E+07,20.0M,50.0M
Warframe,2013-03-25,0.0,"20,000,000 .. 50,000,000",Digital Extremes,Digital Extremes,2.00E+07,5.00E+07,20.0M,50.0M
Rust,2018-02-08,39.99,"20,000,000 .. 50,000,000",Facepunch Studios,Facepunch Studios,2.00E+07,5.00E+07,20.0M,50.0M
Lost Ark,2022-02-11,0.0,"20,000,000 .. 50,000,000",Smilegate RPG,Amazon Games,2.00E+07,5.00E+07,20.0M,50.0M
Valheim,2021-02-02,19.99,"20,000,000 .. 50,000,000",Iron Gate AB,Coffee Stain Publishing,2.00E+07,5.00E+07,20.0M,50.0M
The Witcher 3: Wild Hunt,2015-05-18,11.99,"10,000,000 .. 20,000,000",CD PROJEKT RED,CD PROJEKT RED,1.00E+07,2.00E+07,10.0M,20.0M
Borderlands 2,2012-09-17,4.99,"10,000,000 .. 20,000,000","Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",1.00E+07,2.00E+07,10.0M,20.0M
Stardew Valley,2016-02-26,14.99,"10,000,000 .. 20,000,000",ConcernedApe,ConcernedApe,1.00E+07,2.00E+07,10.0M,20.0M
Hogwarts Legacy,2023-02-10,59.99,"10,000,000 .. 20,000,000",Avalanche Software,Warner Bros. Games,1.00E+07,2.00E+07,10.0M,20.0M
Don't Starve Together,2016-04-21,14.99,"10,000,000 .. 20,000,000",Klei Entertainment,Klei Entertainment,1.00E+07,2.00E+07,10.0M,20.0M
Mount & Blade II: Bannerlord,2022-10-25,49.99,"10,000,000 .. 20,000,000",TaleWorlds Entertainment,TaleWorlds Entertainment,1.00E+07,2.00E+07,10.0M,20.0M
Warface,2012-04-12,0.0,"10,000,000 .. 20,000,000",MY.GAMES,MY.GAMES,1.00E+07,2.00E+07,10.0M,20.0M
Minion Masters,2019-05-24,0.0,"10,000,000 .. 20,000,000",BetaDwarf,BetaDwarf,1.00E+07,2.00E+07,10.0M,20.0M
Trove,2015-07-09,,"10,000,000 .. 20,000,000",gamigo US Inc.,gamigo US Inc.,1.00E+07,2.00E+07,10.0M,20.0M
Robocraft,2017-08-24,0.0,"10,000,000 .. 20,000,000",Freejam,Freejam,1.00E+07,2.00E+07,10.0M,20.0M
鬼谷八荒 Tale of Immortal,2021-01-27,19.99,"10,000,000 .. 20,000,000",鬼谷工作室,"鬼谷工作室, Lightning Games",1.00E+07,2.00E+07,10.0M,20.0M
7 Days to Die,2013-12-13,24.99,"10,000,000 .. 20,000,000",The Fun Pimps,The Fun Pimps Entertainment LLC,1.00E+07,2.00E+07,10.0M,20.0M
The Elder Scrolls V: Skyrim,2011-11-10,19.99,"5,000,000 .. 10,000,000",Bethesda Game Studios,Bethesda Softworks,5.00E+06,1.00E+07,5.0M,10.0M
Divinity: Original Sin 2 - Definitive Edition,2017-09-14,17.99,"5,000,000 .. 10,000,000",Larian Studios,Larian Studios,5.00E+06,1.00E+07,5.0M,10.0M
Hades,2020-09-17,24.99,"5,000,000 .. 10,000,000",Supergiant Games,Supergiant Games,5.00E+06,1.00E+07,5.0M,10.0M
Vampire Survivors,2022-10-20,4.99,"5,000,000 .. 10,000,000",poncle,poncle,5.00E+06,1.00E+07,5.0M,10.0M
STAR WARS: The Old Republic,2011-12-20,0.0,"5,000,000 .. 10,000,000",BioWare,Electronic Arts,5.00E+06,1.00E+07,5.0M,10.0M
Fallout 4,2015-11-09,19.99,"5,000,000 .. 10,000,000",Bethesda Game Studios,Bethesda Softworks,5.00E+06,1.00E+07,5.0M,10.0M
The Elder Scrolls Online,2017-05-22,5.99,"5,000,000 .. 10,000,000",ZeniMax Online Studios,Bethesda Softworks,5.00E+06,1.00E+07,5.0M,10.0M
Neverwinter,2013-12-05,0.0,"5,000,000 .. 10,000,000",Cryptic Studios,Gearbox Publishing,5.00E+06,1.00E+07,5.0M,10.0M
