"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"121","War Thunder","Aug 15, 2013","Free","N/A (N/A/81%)","20,000,000 .. 50,000,000","16:58 (04:43)","Gaijin Entertainment","Gaijin Distribution KFT"
"13298","Garry's Mod","Nov 29, 2006","$9.99","N/A (N/A)","20,000,000 .. 50,000,000","17:49 (02:55)","Facepunch Studios","Valve"
"13","Stardew Valley","Feb 26, 2016","$14.99","N/A (N/A/89%)","10,000,000 .. 20,000,000","05:28 (03:03)","ConcernedApe","ConcernedApe"
"80","Don't Starve Together","Apr 21, 2016","$14.99","N/A (N/A/83%)","10,000,000 .. 20,000,000","04:01 (01:18)","Klei Entertainment","Klei Entertainment"
"81","The Forest","Apr 30, 2018","$19.99","N/A (N/A/83%)","10,000,000 .. 20,000,000","06:15 (03:14)","Endnight Games Ltd","Endnight Games Ltd"
"119","World of Warships","Nov 15, 2017","Free","N/A (N/A/81%)","10,000,000 .. 20,000,000","13:08 (24:01)","Wargaming Group Limited","Wargaming Group Limited"
"159","Euro Truck Simulator 2","Oct 12, 2012","$19.99","N/A (N/A/79%)","10,000,000 .. 20,000,000","05:03 (02:23)","SCS Software","SCS Software"
"203","Mount & Blade II: Bannerlord","Oct 25, 2022","$49.99","N/A (N/A/77%)","10,000,000 .. 20,000,000","12:29 (08:42)","TaleWorlds Entertainment","TaleWorlds Entertainment"
"371","Human: Fall Flat","Jul 22, 2016","$19.99","N/A (N/A/70%)","10,000,000 .. 20,000,000","01:50 (01:52)","No Brakes Games","Curve Games"
"501","Warface","Apr 12, 2012","Free","N/A (N/A/62%)","10,000,000 .. 20,000,000","14:15 (14:15)","MY.GAMES","MY.GAMES"
"1062","Robocraft","Aug 24, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Freejam","Freejam"
"1063","VRChat","Feb 1, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","11:08 (02:21)","VRChat Inc.","VRChat Inc."
"12557","Street Warriors Online","Dec 16, 2016","$1.99","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Crazy Rocks Studios","Crazy Rocks Studios"
"13290","鬼谷八荒 Tale of Immortal","Jan 27, 2021","$19.99","N/A (N/A)","10,000,000 .. 20,000,000","04:34 (01:29)","鬼谷工作室","鬼谷工作室, Lightning Games"
"13296","7 Days to Die","Dec 13, 2013","$24.99","N/A (N/A)","10,000,000 .. 20,000,000","09:23 (04:15)","The Fun Pimps","The Fun Pimps Entertainment LLC"
"13297","Raft","Jun 20, 2022","$19.99","N/A (N/A)","10,000,000 .. 20,000,000","04:37 (07:17)","Redbeet Interactive","Axolot Games"
"9","Factorio","Aug 14, 2020","$35","N/A (N/A/90%)","5,000,000 .. 10,000,000","14:42 (09:58)","Wube Software LTD.","Wube Software LTD."
"42","Cities: Skylines","Mar 10, 2015","$29.99","N/A (N/A/85%)","5,000,000 .. 10,000,000","11:49 (05:15)","Colossal Order Ltd.","Paradox Interactive"
"54","Football Manager 2020","Nov 19, 2019","N/A","N/A (N/A/84%)","5,000,000 .. 10,000,000","00:00 (00:00)","Sports Interactive","SEGA"
"77","Prison Architect","Oct 6, 2015","$29.99","N/A (N/A/83%)","5,000,000 .. 10,000,000","04:39 (03:05)","Double Eleven, Introversion Software","Paradox Interactive"
"79","Hearts of Iron IV","Jun 6, 2016","$39.99","N/A (N/A/83%)","5,000,000 .. 10,000,000","09:35 (04:26)","Paradox Development Studio","Paradox Interactive"
"269","NBA 2K20","Sep 6, 2019","N/A","N/A (N/A/74%)","5,000,000 .. 10,000,000","00:56 (00:18)","Visual Concepts","2K"
"270","Arma 3","Sep 12, 2013","$29.99","N/A (N/A/74%)","5,000,000 .. 10,000,000","09:02 (07:07)","Bohemia Interactive","Bohemia Interactive"
"300","Black Desert","May 24, 2017","$9.99","N/A (N/A/73%)","5,000,000 .. 10,000,000","50:05 (29:09)","Pearl Abyss","Pearl Abyss"
"483","Fallout Shelter","Mar 29, 2017","Free","N/A (N/A/63%)","5,000,000 .. 10,000,000","05:31 (09:01)","Bethesda Game Studios","Bethesda Softworks"
"1055","theHunter Classic","Jun 3, 2014","Free","N/A (N/A)","5,000,000 .. 10,000,000","08:49 (11:18)","Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios"
"1060","Clicker Heroes","May 13, 2015","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:57 (00:37)","Playsaurus","Playsaurus"
"1061","World of Tanks","Apr 28, 2021","Free","N/A (N/A)","5,000,000 .. 10,000,000","17:50 (17:49)","Wargaming Group Limited","Wargaming Group Limited"
